"symbol"	"num_hgnc_id"	"chr"	"pos"	"glen"	"prob"	"s_het"
"ABCD2"	"66"	"12"	2367	2367	2.89855640336759e-05	0.011638089
"ABCD3"	"67"	"1"	2455	2455	3.38599769838425e-05	0.069660215
"ABCD4"	"68"	"14"	2136	2136	3.5853240684187e-05	0.008977672
"ABCE1"	"69"	"4"	2056	2056	2.58700632039758e-05	0.414550225
"ABCF1"	"70"	"6"	2931	2931	4.4411404026776e-05	0.011223972
"ABCF2"	"71"	"7"	2133	2133	3.09748715271741e-05	0.137187526
"ABCF3"	"72"	"3"	2450	2450	4.31584661589191e-05	0.012484962
"ABCG1"	"73"	"21"	3212.66666666667	3212.66666666667	5.72133501945583e-05	0.022780734
"ABCG2"	"74"	"4"	2365	2365	3.22027300224133e-05	NA
"ABCG4"	"13884"	"11"	2314	2314	3.90493819022323e-05	0.010818687
"ABCG5"	"13886"	"2"	2148	2148	3.64768697052046e-05	0.002950549
"ABCG8"	"13887"	"2"	2214	2214	3.739533551569e-05	NA
"ABHD1"	"17553"	"2"	1346	1346	1.99777785314393e-05	0.001400535
"ABHD10"	"25656"	"3"	1035	1035	1.52988494968878e-05	0.010814327
"ABHD11"	"16407"	"7"	1028	1028	2.16271746731135e-05	0.008828617
"ABHD12"	"15868"	"20"	1774	1774	3.27001508249085e-05	0.01428289
"ABHD12B"	"19837"	"14"	1281	1281	1.80207708581209e-05	NA
"ABHD13"	"20293"	"13"	1014	1014	1.24346176388005e-05	0.047630986
"ABHD14A"	"24538"	"3"	1214	1214	2.01681450924091e-05	0.008311056
"ABHD14B"	"28235"	"3"	866	866	1.21673402038355e-05	NA
"ABHD15"	"26971"	"17"	1423	1423	3.73029529268921e-05	0.006309933
"ABHD16A"	"13921"	"6"	2253	2253	3.74797747279546e-05	0.027931396
"ABHD16B"	"16128"	"20"	1410	1410	4.42603419141152e-05	NA
"ABHD17A"	"28756"	"19"	1150	1150	3.02229354895082e-05	NA
"ABHD17B"	"24278"	"9"	942	942	1.24464971251811e-05	0.209473763
"ABHD17C"	"26925"	"15"	1022	1022	2.84715932653606e-05	0.262532423
"ABHD18"	"26111"	"4"	1619	1619	2.03423789369952e-05	0.004747962
"ABHD2"	"18717"	"15"	1408	1408	2.35871910958426e-05	0.068686752
"ABHD3"	"18718"	"18"	1449	1449	2.03215363413396e-05	0.006862982
"ABHD4"	"20154"	"14"	1156	1156	1.93458457125456e-05	0.009005758
"ABHD5"	"21396"	"3"	1165	1165	1.56739849867232e-05	0.012795645
"ABHD6"	"21398"	"3"	1126	1126	1.63838556091683e-05	0.017194869
"ABHD8"	"23759"	"19"	1511	1511	3.51548180488296e-05	0.227185673
"ABI1"	"11320"	"10"	1806	1806	2.31723218928232e-05	0.045233549
"ABI2"	"24011"	"2"	1897	1897	2.62373777892137e-05	0.07634147
"ABI3"	"29859"	"17"	1213	1213	2.2703845128763e-05	0.016677912
"ABI3BP"	"17265"	"3"	6469	6469	8.49601918966789e-05	0.006497911
"ABL1"	"76"	"9"	3699	3699	6.60578192618592e-05	0.142453096
"ABL2"	"77"	"1"	3894	3894	5.33328791644798e-05	0.007084002
"ABLIM1"	"78"	"10"	2924	2924	4.60318285956412e-05	0.036167945
"ABLIM2"	"19195"	"4"	2383.66666666667	2383.66666666667	4.49316431071159e-05	0.053640238
"ABLIM3"	"29132"	"5"	2442	2442	3.87656136140155e-05	0.016766673
"ABR"	"81"	"17"	3503	3503	6.53440898266256e-05	0.211293531
"ABRA"	"30655"	"8"	1162	1162	1.82206242808377e-05	0.008414981
"ABRACL"	"21230"	"6"	405	405	5.15298587026291e-06	0.041576288
"ABRAXAS1"	"25829"	"4"	1588	1588	2.16853535293676e-05	0.007858726
"ABRAXAS2"	"28975"	"10"	1376	1376	2.01489468453598e-05	0.031756722
"ABT1"	"17369"	"6"	851	851	1.99607719669394e-05	0.018802708
"ABTB1"	"18275"	"3"	1613	1613	3.36757339918101e-05	NA
"ABTB2"	"23842"	"11"	3334	3334	7.21776846699446e-05	0.042042177
"ACAA1"	"82"	"3"	1471	1471	2.60820038794992e-05	0.007279386
"ACAA2"	"83"	"18"	1353	1353	1.68564031205205e-05	0.003891334
"ACACA"	"84"	"17"	8345	8345	0.000113263408494187	0.111514215
"ACACB"	"85"	"12"	8339	8339	0.000148796001712731	0.007509768
"ACAD10"	"21597"	"12"	3650	3650	5.68290796147705e-05	NA
"ACAD11"	"30211"	"3"	2681	2681	3.55016008322579e-05	NA
"ACAD8"	"87"	"11"	1570	1570	2.56009264881391e-05	0.009103175
"ACAD9"	"21497"	"3"	2182	2182	3.61982303239551e-05	0.018373536
"ACADL"	"88"	"2"	1453	1453	2.01800631328537e-05	0.005679684
"ACADM"	"89"	"1"	1577	1577	1.93109255340548e-05	0.008370366
"ACADS"	"90"	"12"	1539	1539	3.03969900732232e-05	0.014134145
"ACADSB"	"91"	"10"	1459	1459	1.81734338973119e-05	0.001465131
"ACADVL"	"92"	"17"	2493	2493	4.15541339710862e-05	0.016278025
"ACAN"	"319"	"15"	7989	7989	0.000124232224677626	0.134960088
"ACAP1"	"16467"	"17"	2614	2614	4.52838512964504e-05	0.024669305
"ACAP2"	"16469"	"3"	2689	2689	3.46750422814328e-05	0.113644469
"ACAP3"	"16754"	"1"	2873	2873	6.57969721933645e-05	0.01844127
"ACAT1"	"93"	"11"	1522	1522	1.90074064816641e-05	0.010307096
"ACAT2"	"94"	"6"	1472	1472	1.94908123786946e-05	0.008988291
"ACBD3"	"15453"	"1"	1699	1699	2.96701786753138e-05	0.051852438
"ACBD4"	"23337"	"17"	1190	1190	1.92678535999482e-05	0.006942237
"ACBD5"	"23338"	"10"	1853	1853	2.64515567439016e-05	0.012340632
"ACBD6"	"23339"	"1"	961	961	1.2550754678725e-05	0.017610059
"ACBD7"	"17715"	"10"	315	315	4.47132173444499e-06	NA
"ACCS"	"23989"	"11"	1715	1715	2.42507762355972e-05	0.01436604
"ACCSL"	"34391"	"11"	1915	1915	2.55789640053506e-05	0.004223171
"ACD"	"25070"	"16"	1811	1811	3.55208655143979e-05	0.005771236
"ACE"	"2707"	"17"	5096	5096	9.52456346961276e-05	0.008178741
"ACE2"	"13557"	"X"	2690	2690	3.20731826827577e-05	0.192446816
"ACER1"	"18356"	"19"	875	875	1.50395337515998e-05	0.014576735
"ACER2"	"23675"	"9"	983	983	1.50813370760834e-05	0.031874431
"ACER3"	"16066"	"11"	1011	1011	1.37008017484707e-05	0.031732397
"ACHE"	"108"	"7"	2036	2036	4.45672083859307e-05	0.261397292
"ACIN1"	"17066"	"14"	4471	4471	7.15497058422589e-05	0.128918889
"ACKR1"	"4035"	"1"	1046	1046	1.28264136359657e-05	0.018019329
"ACKR2"	"1565"	"3"	1155	1155	1.75741197124942e-05	0.011228949
"ACKR3"	"23692"	"2"	1089	1089	2.1048508335182e-05	0.034387428
"ACKR4"	"1611"	"3"	1053	1053	1.24501211122679e-05	0.014632699
"ACLY"	"115"	"17"	3738	3738	6.15190819850615e-05	0.021618361
"ACMSD"	"19288"	"2"	1155	1155	1.65028872877985e-05	0.005197869
"ACO1"	"117"	"9"	2974	2974	4.20364575879119e-05	0.009787677
"ACO2"	"118"	"22"	2690	2690	4.55288184989171e-05	0.046481198
"ACOD1"	"33904"	"13"	1522	1522	1.92806110595511e-05	NA
"ACOT1"	"33128"	"14"	1298	1298	2.87523715071891e-05	0.015862303
"ACOT11"	"18156"	"1"	2244	2244	4.27004450598854e-05	0.004085797
"ACOT12"	"24436"	"5"	1900	1900	2.86609937439308e-05	0.002387589
"ACOT13"	"20999"	"6"	475	475	6.65790282762836e-06	0.005485414
"ACOT2"	"18431"	"14"	1484	1484	3.13753130029209e-05	0.02059176
"ACOT4"	"19748"	"14"	1298	1298	2.63716514527655e-05	0.002364966
"ACOT6"	"33159"	"14"	640	640	7.33744948392474e-06	0.009378431
"ACOT7"	"24157"	"1"	1569	1569	3.36545002175953e-05	0.058510478
"ACOT8"	"15919"	"20"	1071	1071	1.99391925200764e-05	0.00418723
"ACOT9"	"17152"	"X"	1587	1587	2.08492293183017e-05	0.006483812
"ACOX1"	"119"	"17"	2368	2368	3.58766382033661e-05	0.02972556
"ACOX2"	"120"	"3"	2254	2254	3.59458765371353e-05	0.008482614
"ACOX3"	"121"	"4"	2359	2359	4.51470124075317e-05	NA
"ACOXL"	"25621"	"2"	2185	2185	3.42012698224636e-05	NA
"ACP1"	"122"	"2"	755	755	1.12484916926346e-05	0.010259507
"ACP2"	"123"	"11"	1622	1622	2.95946113887168e-05	0.010811621
"ACP4"	"14376"	"19"	1441	1441	2.7960982255993e-05	0.003187628
"ACP5"	"124"	"19"	1026	1026	1.83204211458018e-05	0.053661422
"ACP6"	"29609"	"1"	1475	1475	2.20320993192926e-05	0.007733308
"ACPP"	"125"	"3"	1440	1440	1.85157104468804e-05	0.00576505
"ACR"	"126"	"22"	1412	1412	2.60338553411163e-05	0.022027119
"ACRBP"	"17195"	"12"	1794	1794	2.76400149538684e-05	0.008461948
"ACRV1"	"127"	"11"	846	846	1.0442837708553e-05	0.006243998
"ACSBG1"	"29567"	"15"	2562	2562	4.44239481806767e-05	0.013773494
"ACSBG2"	"24174"	"19"	2196.33333333333	2196.33333333333	3.0098868048373e-05	NA
"ACSF2"	"26101"	"17"	2179	2179	3.49479244986057e-05	0.008374184
"ACSF3"	"27288"	"16"	1889	1889	3.71914546407207e-05	0.003249258
"ACSL1"	"3569"	"4"	2534	2534	3.89157772748318e-05	0.032930231
"ACSL3"	"3570"	"2"	2494	2494	3.2797743560316e-05	0.042040738
"ACSL4"	"3571"	"X"	2344	2344	2.75759502124582e-05	0.341608875
"ACSL5"	"16526"	"10"	2605	2605	3.44812301222707e-05	0.024477568
"ACSL6"	"16496"	"5"	2715	2715	3.95934601334219e-05	0.024190558
"ACSM1"	"18049"	"16"	2046	2046	2.87408040606232e-05	0.004350421
"ACSM2A"	"32017"	"16"	1965	1965	2.716416273016e-05	NA
"ACSM2B"	"30931"	"16"	2099	2099	2.82007171493565e-05	0.002649883
"ACSM3"	"10522"	"16"	2173	2173	2.71771605810451e-05	NA
"ACSM4"	"32016"	"12"	1935	1935	2.67754818867917e-05	NA
"ACSM5"	"26060"	"16"	1936	1936	2.92967446191084e-05	0.005215929
"ACSM6"	"31665"	"10"	1587	1587	1.98789223756257e-05	0.002444734
"ACSS1"	"16091"	"20"	2649	2649	4.90093215367446e-05	0.023109848
"ACSS2"	"15814"	"20"	2596	2596	3.86161469947226e-05	0.014838309
"ACSS3"	"24723"	"12"	2303	2303	3.42485473193828e-05	0.006909619
"ACTA1"	"129"	"1"	1214	1214	3.25786051290658e-05	0.013944326
"ACTA2"	"130"	"10"	1248	1248	1.98680699884715e-05	0.057632877
"ACTB"	"132"	"7"	1217	1217	2.69114850312571e-05	0.288972705
"ACTBL2"	"17780"	"5"	1131	1131	1.82629349064753e-05	0.00141402
"ACTC1"	"143"	"15"	1214	1214	2.10291885484263e-05	0.094377303
"ACTG1"	"144"	"17"	1192	1192	2.73637515801416e-05	0.032327077
"ACTG2"	"145"	"2"	1425	1425	2.05824615097532e-05	0.019086587
"ACTL10"	"16127"	"20"	738	738	2.08748623546678e-05	NA
"ACTL6A"	"24124"	"3"	1500	1500	1.90902299000531e-05	0.133438471
"ACTL6B"	"160"	"7"	1489	1489	2.83727219703368e-05	0.070649601
"ACTL7A"	"161"	"9"	1308	1308	2.40436166492638e-05	0.010237804
"ACTL7B"	"162"	"9"	1248	1248	2.97605574386793e-05	0.002150419
"ACTL8"	"24018"	"1"	1117	1117	2.27019244234346e-05	0.021806866
"ACTL9"	"28494"	"19"	1251	1251	3.0434505758585e-05	0.091667565
"ACTN1"	"163"	"14"	3378	3378	6.28856365322999e-05	0.167685793
"ACTN2"	"164"	"1"	3107	3107	5.43336385686075e-05	0.05829742
"ACTN3"	"165"	"11"	3310	3310	6.33825619063452e-05	NA
"ACTN4"	"166"	"19"	3261	3261	6.79845951673165e-05	0.404806587
"ACTR10"	"17372"	"14"	1446	1446	1.91888791058808e-05	0.020873041
"ACTR1A"	"167"	"10"	1291	1291	2.16950105728232e-05	0.071459556
"ACTR1B"	"168"	"2"	1291	1291	2.7263531839491e-05	0.024308137
"ACTR2"	"169"	"2"	1413	1413	1.85948579982415e-05	0.1767576
"ACTR3"	"170"	"2"	1433	1433	1.87683363643661e-05	0.261242348
"ACTR3B"	"17256"	"7"	1433	1433	2.38453278606634e-05	0.277559957
"ACTR3C"	"37282"	"7"	1026	1026	1.87888164200751e-05	0.00290081
"ACTR5"	"14671"	"20"	1952	1952	3.51426707124269e-05	0.006435819
"ACTR6"	"24025"	"12"	1463	1463	1.814302456692e-05	0.013935413
"ACTR8"	"14672"	"3"	2094	2094	3.11896330245512e-05	0.008961664
"ACTRT1"	"24027"	"X"	1131	1131	1.53086731378409e-05	0.026086768
"ACTRT2"	"24026"	"1"	1134	1134	2.25142650108165e-05	0.014166183
"ACTRT3"	"24022"	"3"	1135	1135	1.72457349338153e-05	0.011093457
"ACVR1"	"171"	"2"	1658	1658	2.39919772757715e-05	0.05899167
"ACVR1B"	"172"	"12"	2027	2027	3.24939070544849e-05	0.343418148
"ACVR1C"	"18123"	"2"	1610	1610	2.28593500530221e-05	0.006360397
"ACVR2A"	"173"	"2"	1702	1702	2.05585943333817e-05	0.088293436
"ACVR2B"	"174"	"3"	1699	1699	3.16593084181316e-05	0.157863241
"ACVRL1"	"175"	"12"	1682	1682	3.15103625189117e-05	0.018495162
"ACY1"	"177"	"3"	1933	1933	3.2187421988128e-05	0.004131245
"ACY3"	"24104"	"11"	1040	1040	2.0384367336087e-05	0.005707127
"ACYP1"	"179"	"14"	581	581	8.86960713859383e-06	0.033071789
"ACYP2"	"180"	"2"	1004	1004	1.44721086332251e-05	0.002008643
"ADA"	"186"	"20"	1268	1268	2.12187176086166e-05	0.006312065
"ADA2"	"1839"	"22"	1653	1653	2.17474707549827e-05	0.005248583
"ADAD1"	"30713"	"4"	1893	1893	2.27986311072693e-05	0.021818438
"ADAD2"	"30714"	"16"	2158	2158	4.36966157710395e-05	0.005343262
"ADAL"	"31853"	"15"	1244	1244	1.41783622323327e-05	0.006003713
"ADAM10"	"188"	"15"	2698	2698	3.35407484232609e-05	0.204232937
"ADAM11"	"189"	"17"	2728	2728	5.32451401284302e-05	0.027098846
"ADAM12"	"190"	"10"	3194	3194	5.14379134578812e-05	0.02670081
"ADAM15"	"193"	"1"	3062	3062	4.78488943087525e-05	0.007440581
"ADAM17"	"195"	"2"	2786	2786	3.88595355619865e-05	0.08819831
"ADAM18"	"196"	"8"	2551	2551	2.97396975950326e-05	NA
"ADAM19"	"197"	"5"	3480	3480	5.50428934003282e-05	0.012750941
"ADAM2"	"198"	"8"	2514	2514	2.96234141419139e-05	NA
"ADAM20"	"199"	"14"	2331	2331	2.77713716050609e-05	NA
"ADAM21"	"200"	"14"	2169	2169	2.66112491098164e-05	NA
"ADAM22"	"201"	"7"	3571.33333333333	3571.33333333333	5.03395842289337e-05	0.01275042
"ADAM23"	"202"	"2"	3097	3097	4.79990649947059e-05	0.045625784
"ADAM28"	"206"	"8"	2745.66666666667	2745.66666666667	3.35647899805831e-05	0.002746066
"ADAM29"	"207"	"4"	2463	2463	3.00359641707908e-05	0.004399297
"ADAM30"	"208"	"1"	2373	2373	3.17483433686758e-05	0.013423343
"ADAM32"	"15479"	"8"	3008	3008	3.92843304145343e-05	0.005750697
"ADAM33"	"15478"	"20"	2780	2780	5.69687956371117e-05	0.003364089
"ADAM7"	"214"	"8"	2772	2772	3.38889224703615e-05	0.005625029
"ADAM8"	"215"	"10"	3038	3038	6.32553776892266e-05	NA
"ADAM9"	"216"	"8"	2969	2969	3.78923226077442e-05	0.040204785
"ADAMDEC1"	"16299"	"8"	1621	1621	2.07444318324602e-05	0.004153335
"ADAMTS1"	"217"	"21"	3056	3056	5.81795644742897e-05	0.046230224
"ADAMTS10"	"13201"	"19"	3739	3739	8.55335050804404e-05	0.059359977
"ADAMTS12"	"14605"	"5"	5218	5218	7.35817092887072e-05	0.007784887
"ADAMTS13"	"1366"	"9"	4962	4962	9.79153883681488e-05	0.013675183
"ADAMTS14"	"14899"	"10"	4017	4017	7.42649147977698e-05	0.011231624
"ADAMTS15"	"16305"	"11"	2965	2965	6.61359869257987e-05	0.027227474
"ADAMTS16"	"17108"	"5"	4039	4039	6.86292718502967e-05	0.020824186
"ADAMTS17"	"17109"	"15"	3624	3624	8.14233138387254e-05	0.014863611
"ADAMTS18"	"17110"	"16"	4018	4018	6.4250661891827e-05	0.011709295
"ADAMTS19"	"17111"	"5"	3976	3976	6.29693430758262e-05	0.054739527
"ADAMTS2"	"218"	"5"	4052	4052	9.18470787072407e-05	0.022157582
"ADAMTS20"	"17178"	"12"	6580	6580	8.62274849672201e-05	NA
"ADAMTS3"	"219"	"4"	3954	3954	5.38532461421137e-05	0.017305051
"ADAMTS4"	"220"	"1"	2705	2705	4.73199360309468e-05	0.00924682
"ADAMTS5"	"221"	"21"	2905	2905	5.91962009462267e-05	0.044513405
"ADAMTS6"	"222"	"5"	3916	3916	5.04602501444163e-05	0.081851673
"ADAMTS7"	"223"	"15"	5429	5429	0.000115311187018856	0.01706629
"ADAMTS8"	"224"	"11"	2798	2798	6.12745156266527e-05	0.00908166
"ADAMTS9"	"13202"	"3"	6420	6420	0.000101956770167247	0.020371035
"ADAMTSL1"	"14632"	"9"	6017	6017	0.000102101370358392	0.020018119
"ADAMTSL2"	"14631"	"9"	3471	3471	7.82258317351889e-05	0.071033029
"ADAMTSL3"	"14633"	"15"	5568	5568	7.90868227796038e-05	0.022023201
"ADAMTSL4"	"19706"	"1"	3641	3641	6.45346238493062e-05	0.006786103
"ADAMTSL5"	"27912"	"19"	1670	1670	3.70911356222039e-05	0.00392309
"ADAP1"	"16486"	"7"	1520	1520	3.12384913331107e-05	0.049499956
"ADAP2"	"16487"	"17"	1324	1324	2.16926276087843e-05	0.003792056
"ADAR"	"225"	"1"	4057	4057	6.13860286890607e-05	0.039721465
"ADARB1"	"226"	"21"	2387	2387	4.13465226990461e-05	0.075399051
"ADARB2"	"227"	"10"	2573	2573	6.86146212438368e-05	0.053990075
"ADAT1"	"228"	"16"	1721	1721	2.35588533189835e-05	0.004901404
"ADAT2"	"21172"	"6"	656	656	1.04197479750194e-05	0.007055448
"ADAT3"	"25151"	"19"	1104	1104	3.4763246184793e-05	NA
"ADCK1"	"19038"	"14"	1716	1716	2.97686260879616e-05	0.005081829
"ADCK2"	"19039"	"7"	2034	2034	3.64993422833456e-05	NA
"ADCK5"	"21738"	"8"	2057	2057	4.44804616963009e-05	0.073242647
"ADCY1"	"232"	"7"	3759	3759	7.74047355072012e-05	0.155092757
"ADCY10"	"21285"	"1"	5419	5419	6.78084606332877e-05	0.007067623
"ADCY2"	"233"	"5"	3848	3848	6.6334306368533e-05	0.25891727
"ADCY3"	"234"	"2"	3861.66666666667	3861.66666666667	7.27602415060644e-05	0.026808484
"ADCY4"	"235"	"14"	3642	3642	6.52820413409847e-05	NA
"ADCY5"	"236"	"3"	4330	4330	9.84703988839374e-05	0.062744361
"ADCY6"	"237"	"12"	3860	3860	7.30490688734208e-05	0.040139956
"ADCY7"	"238"	"16"	3789	3789	7.60525346562029e-05	0.008040296
"ADCY8"	"239"	"8"	4028	4028	7.0203330394777e-05	0.014018052
"ADCY9"	"240"	"16"	4271	4271	8.83953623463806e-05	0.045022835
"ADCYAP1"	"241"	"18"	579	579	1.75435157198998e-05	0.027706447
"ADCYAP1R1"	"242"	"7"	1831	1831	2.69410030538241e-05	0.025647649
"ADD1"	"243"	"4"	2681	2681	4.28392929301964e-05	0.05447388
"ADD2"	"244"	"2"	2644	2644	4.61042569113234e-05	0.137610258
"ADD3"	"245"	"10"	2329	2329	2.89332084438853e-05	0.027321132
"ADGB"	"21212"	"6"	5825	5825	7.15149277107243e-05	NA
"ADGRA1"	"13838"	"10"	4088	4088	9.06599073129387e-05	0.047548227
"ADGRA2"	"17849"	"8"	4453	4453	9.83593684421075e-05	0.021876324
"ADGRA3"	"13839"	"4"	4355	4355	6.91442814650314e-05	0.029855381
"ADGRB1"	"943"	"8"	5219	5219	0.000124800642788601	0.16739562
"ADGRB2"	"944"	"1"	5411	5411	0.000104284863378483	0.051761908
"ADGRB3"	"945"	"6"	5179	5179	6.86508524850597e-05	0.181932764
"ADGRD1"	"19893"	"12"	3350	3350	6.00769832550863e-05	0.020344183
"ADGRD2"	"18651"	"9"	3196	3196	6.77135311572014e-05	NA
"ADGRE1"	"3336"	"19"	3088	3088	4.24571676598844e-05	0.003677567
"ADGRE2"	"3337"	"19"	2858	2858	4.46326916464029e-05	NA
"ADGRE3"	"23647"	"19"	2297	2297	3.00356936540216e-05	0.001762519
"ADGRE5"	"1711"	"19"	3045	3045	5.54288090686622e-05	0.015692981
"ADGRF1"	"18990"	"6"	3023	3023	3.86017404096501e-05	0.003906697
"ADGRF2"	"18991"	"6"	2377	2377	2.71098950980759e-05	NA
"ADGRF3"	"18989"	"2"	3656	3656	5.3393587322165e-05	NA
"ADGRF4"	"19011"	"6"	2461	2461	3.07739472855906e-05	0.003113425
"ADGRF5"	"19030"	"6"	4418	4418	5.76695854640506e-05	0.062656477
"ADGRG1"	"4512"	"16"	2345	2345	3.77973700987636e-05	0.024442105
"ADGRG2"	"4516"	"X"	3516.66666666667	3516.66666666667	4.51097781652687e-05	0.113680753
"ADGRG3"	"13728"	"16"	2097	2097	3.36317849266397e-05	0.00308297
"ADGRG4"	"18992"	"X"	9656	9656	0.000112424156182561	0.005013799
"ADGRG5"	"19010"	"16"	1747	1747	2.9156495731106e-05	0.014774201
"ADGRG6"	"13841"	"6"	4207	4207	4.83182430327351e-05	0.025821129
"ADGRG7"	"19241"	"3"	2634	2634	3.30964099863555e-05	0.004191667
"ADGRL1"	"20973"	"19"	4777	4777	0.000100759171675421	0.523630711
"ADGRL2"	"18582"	"1"	4890	4890	6.34474784372489e-05	0.341187683
"ADGRL3"	"20974"	"4"	5195	5195	7.22274107081919e-05	0.183874747
"ADGRL4"	"20822"	"1"	2316	2316	2.66449986470279e-05	0.009859093
"ADGRV1"	"17416"	"5"	20452	20452	0.000253451120371888	0.013299315
"ADH1A"	"249"	"4"	1256	1256	1.5851108018738e-05	0.001047803
"ADH1B"	"250"	"4"	1256	1256	1.74989829598827e-05	0.011469643
"ADH1C"	"251"	"4"	1256	1256	1.70722850771702e-05	NA
"ADH4"	"252"	"4"	1354	1354	1.62812914906622e-05	0.008620396
"ADH5"	"253"	"4"	1253	1253	1.60030311081897e-05	0.006367244
"ADH6"	"255"	"4"	1262	1262	1.45212379328189e-05	0.007066868
"ADH7"	"256"	"4"	1375	1375	1.74231032802239e-05	0.003997881
"ADHFE1"	"16354"	"8"	1645	1645	2.41161421450516e-05	0.006095978
