gene_id	mutation_category	events_n	dist	probability
ABR	nonsense	0	nan	nan
AC005003.1	missense	2	249.0	0.8346251653748347
AC005003.1	nonsense	0	nan	nan
AC079354.1	missense	2	770.0	0.6270073729926269
AC079354.1	nonsense	0	nan	nan
ACACA	missense	3	2056.7	0.5826244173755826
ACACA	nonsense	0	nan	nan
ACACB	missense	2	4249.0,nan	0.8234241765758235
ACACB	nonsense	0	nan,nan	nan
ACAD10	missense	3	628.0	0.319018680981319
ACAD10	nonsense	0	nan	nan
ACADSB	missense	3	482.6	0.7445472554527446
ACADSB	nonsense	0	nan	nan
ACAN	missense	2	756.0,nan	0.19356980643019359
ACAN	nonsense	0	nan,nan	nan
ACAP1	missense	3	616.2	0.5197114802885197
ACAP1	nonsense	0	nan	nan
ACCSL	missense	2	891.0	0.7322752677247323
ACCSL	nonsense	0	nan	nan
ACD	missense	3	626.1	0.7803662196337804
ACD	nonsense	0	nan	nan
ACE	missense	6	1275.1	0.7380172619827381
ACE	nonsense	0	nan	nan
ACHE	missense	2	555.0,nan	0.5102734897265104
ACHE	nonsense	0	nan,nan	nan
ACIN1	missense	4	1299.4	0.6973203026796974
ACIN1	nonsense	0	nan	nan
ACKR1	missense	2	167.0	0.2985467014532986
ACKR1	nonsense	0	nan	nan
ACLY	missense	3	1085.3	0.685032314967685
ACLY	nonsense	0	nan	nan
ACO1	missense	2	1717.0,nan	0.8627611372388627
ACO1	nonsense	0	nan,nan	nan
ACOT11	missense	3	670.9	0.7787992212007787
ACOT11	nonsense	0	nan	nan
ACOT12	missense	3	102.3	0.05532494467505529
ACOT12	nonsense	0	nan	nan
ACOX1	missense	2	0.0,nan	0.0020279979720020276
ACOX1	nonsense	0	nan,nan	nan
ACOX2	missense	4	184.8	0.05699994300005699
ACOX2	nonsense	0	nan	nan
ACOX3	missense	2	387.0	0.3389016610983389
ACOX3	nonsense	0	nan	nan
ACP4	missense	3	301.7	0.4678325321674679
ACP4	nonsense	0	nan	nan
ACRBP	missense	3	247.8	0.22545577454422555
ACRBP	nonsense	0	nan	nan
ACSF2	missense	2	510.0	0.4478265521734478
ACSF2	nonsense	0	nan	nan
ACSL3	missense	2	104.0,nan	0.09632790367209632
ACSL3	nonsense	0	nan,nan	nan
ACSL4	missense	2	954.0,nan	0.696922303077697
ACSL4	nonsense	0	nan,nan	nan
ACSS1	missense	2	1053.0	0.7316912683087317
ACSS1	nonsense	0	nan	nan
ACSS2	missense	3	296.8	0.19252080747919248
ACSS2	nonsense	0	nan	nan
ACSS3	missense	2	1623.0	0.9406310593689406
ACSS3	nonsense	0	nan	nan
ACTA1	missense	7	335.5	0.8707251292748708
ACTA1	nonsense	0	nan	nan
ACTA2	missense	3	183.7,nan	0.26709473290526714
ACTA2	nonsense	0	nan,nan	nan
ACTC1	missense	3	229.2	0.3593726406273593
ACTC1	nonsense	0	nan	nan
ACTG2	missense	3	381.2,nan	0.7026602973397027
ACTG2	nonsense	0	nan,nan	nan
ACTL6A	missense	2	0.0	0.002852997147002853
ACTL6A	nonsense	0	nan	nan
ACTL6B	missense	6	38.3	0.00011199988800011187
ACTL6B	nonsense	0	nan	nan
ACTL7A	missense	2	617.0	0.7269002730997269
ACTL7A	nonsense	0	nan	nan
ACTN1	missense	4	753.9	0.5704994295005706
ACTN1	nonsense	0	nan	nan
ACTN2	missense	4	519.4,nan	0.3328556671443328
ACTN2	nonsense	0	nan,nan	nan
ACTN3	missense	5	350.5	0.09014790985209015
ACTN3	nonsense	0	nan	nan
ACTN4	missense	3	213.7	0.07625092374907627
ACTN4	nonsense	0	nan	nan
ACTR1A	missense	3	481.8	0.9394290605709394
ACTR1A	nonsense	0	nan	nan
ACTR3B	missense	2	14.0	0.026674973325026666
ACTR3B	nonsense	0	nan	nan
ADAD2	missense	3	588.6	0.591003408996591
ADAD2	nonsense	0	nan	nan
ADAM20	missense	3	43.4	0.005386994613005385
ADAM20	nonsense	0	nan	nan
ADAM22	missense	2	489.0	0.3217486782513217
ADAM22	nonsense	0	nan	nan
ADAM23	missense	2	1289.0,nan,nan	0.7273992726007275
ADAM23	nonsense	0	nan,nan,nan	nan
ADAM33	missense	2	nan	nan
ADAM33	nonsense	0	nan	nan
ADAM7	missense	2	748.0	0.5384104615895384
ADAM7	nonsense	0	nan	nan
ADAM8	missense	3	827.8	0.6988873011126988
ADAM8	nonsense	0	nan	nan
ADAMTS10	missense	7	648.2,nan	0.26284273715726286
ADAMTS10	nonsense	0	nan,nan	nan
ADAMTS12	missense	4	1461.7	0.7183902816097185
ADAMTS12	nonsense	0	nan	nan
ADAMTS13	missense	8	581.7,nan	0.06376393623606376
ADAMTS13	nonsense	0	nan,nan	nan
ADAMTS15	missense	2	163.0	0.11666088333911662
ADAMTS15	nonsense	0	nan	nan
ADAMTS16	missense	2	1494.0	0.6261683738316262
ADAMTS16	nonsense	0	nan	nan
ADAMTS17	missense	7	768.4	0.4360265639734361
ADAMTS17	nonsense	0	nan	nan
ADAMTS18	missense	6	1020.3	0.7001672998327002
ADAMTS18	nonsense	0	nan	nan
ADAMTS19	missense	3	493.2	0.19832380167619826
ADAMTS19	nonsense	0	nan	nan
ADAMTS20	missense	5	790.7	0.1133008866991133
ADAMTS20	nonsense	0	nan	nan
ADAMTS2	missense	3	502.0	0.1986488013511986
ADAMTS2	nonsense	0	nan	nan
ADAMTS3	missense	2	2344.0	0.8759651240348759
ADAMTS3	nonsense	0	nan	nan
ADAMTS5	missense	2	129.0	0.10044489955510043
ADAMTS5	nonsense	0	nan	nan
ADAMTS6	missense	5	1266.2	0.974013025986974
ADAMTS6	nonsense	0	nan	nan
ADAMTS8	missense	3	181.5	0.06575493424506575
ADAMTS8	nonsense	0	nan	nan
ADAMTS9	missense	5	1652.7	0.6795433204566795
ADAMTS9	nonsense	0	nan	nan
ADAMTSL1	missense	8	1447.6	0.8195171804828195
ADAMTSL1	nonsense	0	nan	nan
ADAMTSL2	missense	3	411.5	0.18455781544218455
ADAMTSL2	nonsense	0	nan	nan
ADAMTSL3	missense	4	1429.7	0.6328173671826328
ADAMTSL3	nonsense	0	nan	nan
ADAMTSL4	missense	5	469.8,nan	0.14519885480114522
ADAMTSL4	nonsense	0	nan,nan	nan
ADAMTSL5	missense	2	541.0	0.6120933879066119
ADAMTSL5	nonsense	0	nan	nan
ADAP1	missense	4	122.0	0.0843349156650843
ADAP1	nonsense	0	nan	nan
ADAP2	missense	3	240.7	0.33529766470233524
ADAP2	nonsense	0	nan	nan
ADARB1	missense	3	711.5,nan	0.6452573547426452
ADARB1	nonsense	0	nan,nan	nan
ADARB2	missense	3	1153.5	0.9840890159109841
ADARB2	nonsense	0	nan	nan
ADAR	missense	5	1058.0	0.6595183404816594
ADAR	nonsense	0	nan	nan
ADAT1	missense	2	854.0	0.8237521762478237
ADAT1	nonsense	0	nan	nan
ADCK2	missense	2	1463.0	0.9427680572319428
ADCK2	nonsense	0	nan	nan
ADCK5	missense	4	253.6	0.19302980697019304
ADCK5	nonsense	0	nan	nan
ADCY10	missense	6	779.2	0.158001841998158
ADCY10	nonsense	0	nan	nan
ADCY1	missense	3	864.7	0.48035551964448053
ADCY1	nonsense	0	nan	nan
ADCY2	missense	6	776.8	0.4595975404024596
ADCY2	nonsense	0	nan	nan
ADCY4	missense	2	121.0,nan,nan	0.07804492195507805
ADCY4	nonsense	0	nan,nan,nan	nan
ADCY5	missense	12	118.9	6.666664444445189e-07
ADCY5	nonsense	0	nan	nan
ADCY6	missense	3	590.2	0.27443972556027435
ADCY6	nonsense	0	nan	nan
ADCY7	missense	4	316.8,nan	0.07595592404407593
ADCY7	nonsense	0	nan,nan	nan
ADCY8	missense	6	939.0	0.5492724507275493
ADCY8	nonsense	0	nan	nan
ADCY9	missense	4	990.9	0.48497051502948496
ADCY9	nonsense	0	nan	nan
ADD1	missense	3	392.4	0.2798667201332799
ADD1	nonsense	0	nan	nan
ADGB	missense	4	200.9	0.006167993832006171
ADGB	nonsense	0	nan	nan
ADGRA2	missense	6	993.3	0.5028964971035028
ADGRA2	nonsense	0	nan	nan
ADGRB1	missense	5	911.0,nan	0.2638087361912638
ADGRB1	nonsense	0	nan,nan	nan
ADGRD1	missense	2	110.0	0.08154491845508151
ADGRD1	nonsense	0	nan	nan
ADGRE2	missense	2	558.0	0.3977956022043979
ADGRE2	nonsense	0	nan	nan
ADGRE5	missense	2	383.0	0.2811637188362812
ADGRE5	nonsense	0	nan	nan
ADGRF2	missense	3	613.4	0.5682924317075682
ADGRF2	nonsense	0	nan	nan
ADGRG1	missense	4	249.5,nan,nan,nan,nan	0.10953889046110953
ADGRG1	nonsense	0	nan,nan,nan,nan,nan	nan
ADGRG6	missense	4	795.0	0.373919626080374
ADGRG6	nonsense	0	nan	nan
ADGRL1	missense	3	1201.7	0.5175184824815178
ADGRL1	nonsense	0	nan	nan
ADGRL2	missense	2	1355.0,nan	0.5132364867635133
ADGRL2	nonsense	0	nan,nan	nan
ADGRL3	missense	4	850.8	0.25582874417125584
ADGRL3	nonsense	0	nan	nan
ADGRL4	missense	2	1229.0	0.8182511817488183
ADGRL4	nonsense	0	nan	nan
ADGRV1	missense	9	5582.1	0.9378620621379379
ADGRV1	nonsense	0	nan	nan
ADHFE1	missense	5	422.6	0.7565892434107566
ADHFE1	nonsense	0	nan	nan
ADNP2	missense	4	488.3	0.17876682123317877
ADNP2	nonsense	0	nan	nan
ADNP	missense	4	129.9,nan,nan,nan	0.005946994053005945
ADNP	nonsense	0	nan,nan,nan,nan	nan
ADORA3	missense	2	669.0	0.87004912995087
ADORA3	nonsense	0	nan	nan
ADRM1	missense	3	555.5	0.8994851005148995
ADRM1	nonsense	0	nan	nan
ADSSL1	missense	2	207.0	0.265967734032266
ADSSL1	nonsense	0	nan	nan
AEBP1	missense	2	866.0	0.4378895621104377
AEBP1	nonsense	0	nan	nan
AFAP1	missense	3	244.9,nan	0.1222128777871222
AFAP1	nonsense	0	nan,nan	nan
AFDN	missense	8	1062.2	0.2215987784012216
AFDN	nonsense	0	nan	nan
AFF1	missense	3	1475.3	0.8295571704428295
AFF1	nonsense	0	nan	nan
AFF2	missense	2	1113.0	0.47706652293347707
AFF2	nonsense	0	nan	nan
AFF3	missense	10	126.8,nan	4.9999950000049976e-06
AFF3	nonsense	0	nan,nan	nan
AFF4	missense	4	10.7	4.9999950000049976e-06
AFF4	nonsense	0	nan	nan
AFG3L2	missense	6	358.8	0.1124338875661124
AFG3L2	nonsense	0	nan	nan
AFM	missense	2	733.0	0.6657623342376657
AFM	nonsense	0	nan	nan
AGA	missense	2	343.0	0.542155457844542
AGA	nonsense	0	nan	nan
AGAP1	missense	8	828.9,nan	0.6348743651256348
AGAP1	nonsense	0	nan,nan	nan
AGAP2	missense	3	490.5	0.1781498218501781
AGAP2	nonsense	0	nan	nan
AGAP3	missense	7	698.3	0.6324843675156326
AGAP3	nonsense	0	nan	nan
AGBL1	missense	3	967.9	0.6215873784126217
AGBL1	nonsense	0	nan	nan
AGBL5	missense	4	412.7	0.20214079785920214
AGBL5	nonsense	0	nan	nan
AGFG2	missense	3	275.3	0.31968668031331965
AGFG2	nonsense	0	nan	nan
AGK	missense	2	415.0	0.5475154524845476
AGK	nonsense	0	nan	nan
AGL	missense	3	971.1,nan,nan,nan	0.384955615044385
AGL	nonsense	0	nan,nan,nan,nan	nan
AGMO	missense	2	160.0	0.22543977456022543
AGMO	nonsense	0	nan	nan
AGO1	missense	9	199.5	0.0007799992200007796
AGO1	nonsense	0	nan	nan
AGO2	missense	5	512.4	0.34994265005734987
AGO2	nonsense	0	nan	nan
AGO3	missense	2	728.0	0.4858205141794858
AGO3	nonsense	0	nan	nan
AGO4	missense	3	1008.2	0.7773672226327774
AGO4	nonsense	0	nan	nan
AGPAT2	missense	2	106.0,nan	0.25108674891325117
AGPAT2	nonsense	0	nan,nan	nan
AGPAT3	missense	2	321.0,nan,nan,nan,nan,nan	0.5164434835565165
AGPAT3	nonsense	0	nan,nan,nan,nan,nan,nan	nan
AGRN	missense	8	1394.3	0.45567654432345583
AGRN	nonsense	0	nan	nan
AGTPBP1	missense	3	923.8	0.4543685456314547
AGTPBP1	nonsense	0	nan	nan
AHCTF1	missense	3	365.3	0.03782596217403784
AHCTF1	nonsense	0	nan	nan
AHDC1	missense	3	2322.7,nan	0.9358180641819358
AHDC1	nonsense	0	nan,nan	nan
AHNAK2	missense	3	5589.8	0.6797633202366797
AHNAK2	nonsense	0	nan	nan
AHNAK	missense	4	6970.4	0.9190290809709191
AHNAK	nonsense	0	nan	nan
AIFM3	missense	3	341.7,nan	0.3267066732933265
AIFM3	nonsense	0	nan,nan	nan
AIG1	missense	2	114.0	0.29434570565429446
AIG1	nonsense	0	nan	nan
AIRE	missense	2	936.0	0.7917432082567918
AIRE	nonsense	0	nan	nan
AK3	missense	2	32.0	0.10496289503710496
AK3	nonsense	0	nan	nan
AK5	missense	2	1101.0	0.8516731483268517
AK5	nonsense	0	nan	nan
AK8	missense	6	398.8	0.734107265892734
AK8	nonsense	0	nan	nan
AK9	missense	8	635.3	0.012578987421012586
AK9	nonsense	0	nan	nan
AKAP10	missense	2	169.0	0.1622918377081623
AKAP10	nonsense	0	nan	nan
AKAP12	missense	3	2043.8,nan	0.786035213964786
AKAP12	nonsense	0	nan,nan	nan
AKAP13	missense	9	1936.5	0.4392435607564391
AKAP13	nonsense	0	nan	nan
AKAP2	missense	5	779.1,nan	0.5547284452715548
AKAP2	nonsense	0	nan,nan	nan
AKAP6	missense	5	1790.5	0.5857964142035856
AKAP6	nonsense	0	nan	nan
AKAP9	missense	9	3790.0,nan	0.9777450222549777
AKAP9	nonsense	0	nan,nan	nan
AKNAD1	missense	4	752.5	0.7008752991247009
AKNAD1	nonsense	0	nan	nan
AKNA	missense	6	1237.4,nan	0.7495942504057496
AKNA	nonsense	0	nan,nan	nan
AKR1B1	missense	2	99.0	0.20514679485320514
AKR1B1	nonsense	0	nan	nan
AKR1C3	missense	2	378.0	0.6338893661106337
AKR1C3	nonsense	0	nan	nan
AKR1D1	missense	2	559.0	0.7912292087707913
AKR1D1	nonsense	0	nan	nan
AKT1	missense	4	61.0,nan,nan,nan,nan,nan	0.00774099225900774
AKT1	nonsense	0	nan,nan,nan,nan,nan,nan	nan
AKT1S1	missense	2	714.0	0.9707870292129708
AKT1S1	nonsense	0	nan	nan
AKT3	missense	6	240.9,nan	0.20088379911620088
AKT3	nonsense	0	nan,nan	nan
ALAD	missense	2	390.0	0.6459323540676459
ALAD	nonsense	0	nan	nan
ALAS2	missense	2	1176.0	0.8887441112558887
ALAS2	nonsense	0	nan	nan
ALB	missense	2	132.0	0.13947786052213945
ALB	nonsense	0	nan	nan
ALDH18A1	missense	4	132.0	0.015658984341015654
ALDH18A1	nonsense	0	nan	nan
ALDH1A2	missense	3	82.8	0.0406989593010407
ALDH1A2	nonsense	0	nan	nan
ALDH1A3	missense	3	104.5	0.06380993619006381
ALDH1A3	nonsense	0	nan	nan
ALDH1L1	missense	3	525.7	0.33545766454233544
ALDH1L1	nonsense	0	nan	nan
ALDH3B1	missense	3	175.6,nan	0.1694538305461695
ALDH3B1	nonsense	0	nan,nan	nan
ALDH3B2	missense	2	841.0,nan	0.9389250610749389
ALDH3B2	nonsense	0	nan,nan	nan
ALDH4A1	missense	2	7.0,nan	0.011281988718011282
ALDH4A1	nonsense	0	nan,nan	nan
ALDH6A1	missense	2	1238.0	0.9298100701899298
ALDH6A1	nonsense	0	nan	nan
ALDOA	missense	2	306.0,nan	0.43960756039243953
ALDOA	nonsense	0	nan,nan	nan
ALG13	missense	9	2.6	1.010100999897969e-08
ALG13	nonsense	0	nan	nan
ALG3	missense	2	295.0	0.3861466138533861
ALG3	nonsense	0	nan	nan
ALG6	missense	3	756.9	0.9489200510799489
ALG6	nonsense	0	nan	nan
ALG8	missense	2	262.0	0.3013136986863013
ALG8	nonsense	0	nan	nan
ALKBH4	missense	3	134.8	0.21915578084421905
ALKBH4	nonsense	0	nan	nan
ALKBH8	missense	2	1162.0	0.836029163970836
ALKBH8	nonsense	0	nan	nan
ALK	missense	4	621.5	0.11953188046811955
ALK	nonsense	0	nan	nan
ALLC	missense	3	98.1	0.09044590955409046
ALLC	nonsense	0	nan	nan
ALMS1	missense	3	5769.1	0.8886031113968886
ALMS1	nonsense	0	nan	nan
ALOX12	missense	2	866.0	0.6394203605796396
ALOX12	nonsense	0	nan	nan
ALOX15	missense	2	147.0	0.1417758582241418
ALOX15	nonsense	0	nan	nan
ALOX5	missense	2	1353.0	0.8632971367028632
ALOX5	nonsense	0	nan	nan
ALPK1	missense	2	1521.0,nan	0.6274263725736275
ALPK1	nonsense	0	nan,nan	nan
ALPK2	missense	6	1223.8	0.24632375367624632
ALPK2	nonsense	0	nan	nan
ALPK3	missense	5	1927.8	0.8867211132788867
ALPK3	nonsense	0	nan	nan
AMACR	missense	4	289.7	0.5186204813795187
AMACR	nonsense	0	nan	nan
AMBRA1	missense	4	1199.0	0.707079292920707
AMBRA1	nonsense	0	nan	nan
AMDHD1	missense	2	36.0	0.06734993265006735
AMDHD1	nonsense	0	nan	nan
AMER1	missense	2	12.0	0.008482991517008482
AMER1	nonsense	0	nan	nan
AMER2	missense	3	900.5	0.9001460998539002
AMER2	nonsense	0	nan	nan
AMER3	missense	2	579.0,nan	0.40857959142040845
AMER3	nonsense	0	nan,nan	nan
AMIGO1	missense	4	480.8,nan	0.7422892577107423
AMIGO1	nonsense	0	nan,nan	nan
AMOTL1	missense	4	173.8	0.019257980742019263
AMOTL1	nonsense	0	nan	nan
AMOTL2	missense	2	434.0	0.32354167645832355
AMOTL2	nonsense	0	nan	nan
AMOT	missense	4	713.0,nan	0.42108357891642123
AMOT	nonsense	0	nan,nan	nan
AMPD1	missense	2	1561.0	0.8971041028958971
AMPD1	nonsense	0	nan	nan
AMPD2	missense	2	291.0,nan	0.2080867919132081
AMPD2	nonsense	0	nan,nan	nan
AMPD3	missense	2	882.0	0.6323223676776323
AMPD3	nonsense	0	nan	nan
AMPH	missense	2	512.0	0.42406257593742425
AMPH	nonsense	0	nan	nan
AMZ1	missense	2	128.0	0.16437683562316438
AMZ1	nonsense	0	nan	nan
ANAPC2	missense	4	260.5	0.08505991494008507
ANAPC2	nonsense	0	nan	nan
ANAPC5	missense	2	89.0	0.08159091840908157
ANAPC5	nonsense	0	nan	nan
ANGEL2	missense	2	396.0	0.43004456995543017
ANGEL2	nonsense	0	nan	nan
ANGPTL5	missense	2	729.0	0.8600781399218601
ANGPTL5	nonsense	0	nan	nan
ANGPTL7	missense	3	477.9	0.9208020791979208
ANGPTL7	nonsense	0	nan	nan
ANHX	missense	2	558.0,nan	0.7710332289667712
ANHX	nonsense	0	nan,nan	nan
ANK1	missense	10	1217.7	0.39446160553839443
ANK1	nonsense	0	nan	nan
ANK2	missense	8	2312.6	0.25906874093125903
ANK2	nonsense	0	nan	nan
ANK3	missense	12	2614.3	0.20952279047720954
ANK3	nonsense	0	nan	nan
ANKAR	missense	2	990.0,nan	0.4070345929654072
ANKAR	nonsense	0	nan,nan	nan
ANKFN1	missense	3	229.1	0.059799940200059784
ANKFN1	nonsense	0	nan	nan
ANKHD1	missense	6	1406.9,nan	0.1871948128051872
ANKHD1	nonsense	0	nan,nan	nan
ANKH	missense	2	729.0	0.7243532756467244
ANKH	nonsense	0	nan	nan
ANKIB1	missense	2	423.0	0.24664775335224665
ANKIB1	nonsense	0	nan	nan
ANKMY1	missense	3	1084.4	0.7324802675197326
ANKMY1	nonsense	0	nan	nan
ANKRD11	missense	17	1029.2,nan	0.0015079984920015072
ANKRD11	nonsense	0	nan,nan	nan
ANKRD12	missense	2	1596.0	0.43577556422443575
ANKRD12	nonsense	0	nan	nan
ANKRD13A	missense	2	179.0	0.19306980693019304
ANKRD13A	nonsense	0	nan	nan
ANKRD13B	missense	4	426.4	0.3932206067793932
ANKRD13B	nonsense	0	nan	nan
ANKRD13D	missense	4	703.8	0.9068980931019069
ANKRD13D	nonsense	0	nan	nan
ANKRD17	missense	7	1551.6	0.23705976294023712
ANKRD17	nonsense	0	nan	nan
ANKRD23	missense	3	154.5,nan	0.31333168666831335
ANKRD23	nonsense	0	nan,nan	nan
ANKRD26	missense	3	1840.4	0.7139112860887138
ANKRD26	nonsense	0	nan	nan
ANKRD28	missense	3	651.7	0.3556816443183558
ANKRD28	nonsense	0	nan	nan
ANKRD35	missense	4	1185.4	0.929082070917929
ANKRD35	nonsense	0	nan	nan
ANKRD40	missense	2	511.0	0.7091672908327091
ANKRD40	nonsense	0	nan	nan
ANKRD42	missense	2	381.0	0.4242355757644245
ANKRD42	nonsense	0	nan	nan
ANKRD44	missense	3	199.2	0.05929494070505928
ANKRD44	nonsense	0	nan	nan
ANKRD50	missense	3	389.3	0.10260689739310262
ANKRD50	nonsense	0	nan	nan
ANKRD52	missense	3	1290.3	0.8233651766348233
ANKRD52	nonsense	0	nan	nan
ANKRD63	missense	2	337.0	0.5274424725575273
ANKRD63	nonsense	0	nan	nan
ANKRD6	missense	2	1423.0,nan	0.8734241265758733
ANKRD6	nonsense	0	nan,nan	nan
ANKS1A	missense	3	161.0	0.031993968006031985
ANKS1A	nonsense	0	nan	nan
ANKS3	missense	4	716.1	0.8729181270818729
ANKS3	nonsense	0	nan	nan
ANO1	missense	3	702.6,nan	0.43946356053643965
ANO1	nonsense	0	nan,nan	nan
ANO2	missense	3	1103.8,nan	0.7464142535857464
ANO2	nonsense	0	nan,nan	nan
ANO3	missense	4	393.8	0.14113385886614113
ANO3	nonsense	0	nan	nan
ANO5	missense	4	538.3	0.3271376728623273
ANO5	nonsense	0	nan	nan
ANO8	missense	3	948.5	0.506041493958506
ANO8	nonsense	0	nan	nan
ANPEP	missense	3	110.9	0.02256897743102257
ANPEP	nonsense	0	nan	nan
ANTXR2	missense	5	152.2	0.03860496139503862
ANTXR2	nonsense	0	nan	nan
ANXA6	missense	3	63.2	0.016503983496016505
ANXA6	nonsense	0	nan	nan
AOAH	missense	2	887.0	0.6897993102006899
AOAH	nonsense	0	nan	nan
AOC1	missense	2	384.0	0.31121168878831124
AOC1	nonsense	0	nan	nan
AOC2	missense	3	726.9	0.6787393212606787
AOC2	nonsense	0	nan	nan
AOC3	missense	2	44.0	0.03979796020203981
AOC3	nonsense	0	nan	nan
AOX1	missense	2	3350.0	0.9661350338649661
AOX1	nonsense	0	nan	nan
AP1G1	missense	4	64.5	0.0019459980540019468
AP1G1	nonsense	0	nan	nan
AP1M1	missense	2	555.0	0.6818443181556819
AP1M1	nonsense	0	nan	nan
AP2A1	missense	5	974.4	0.8955281044718956
AP2A1	nonsense	0	nan	nan
AP2A2	missense	3	1029.7	0.7781192218807781
AP2A2	nonsense	0	nan	nan
AP2B1	missense	2	1748.0,nan,nan	0.8526751473248528
AP2B1	nonsense	0	nan,nan,nan	nan
