symbol	dNdS_macaque	CODING_GERP	PROMOTER_GERP	glen	cancer_gene	PPI_DGR	PPI_BTWN	PPI_LLS2HI	median_fetalbrain_rpkm	relevant_go	pLI
ABCG4	0.262378167641326	3.55	0.42	2314	FALSE	1	0	0	1.078082	FALSE	3.8043e-07
ABCG5	0.468085106382979	2.11	0.03	2148	FALSE	770	11184.7109375	40	0	FALSE	3.081e-21
ABCG8	0.177005789909016	1.98	-0.22	2214	FALSE	832	15121.4472656	37	0	FALSE	2.3838e-20
ABHD1	0.658682634730539	2.19	-1.2	1346	FALSE	334	6975.74121094	6	0	FALSE	3.3799e-25
ABHD10	0.259336099585062	2.33	-0.9	1035	FALSE	359	3346.90014648	7	16.744866	FALSE	1.2865e-05
ABHD11	0.499582985821518	1.59	-0.77	1028	FALSE	351	3590.41210938	10	2.133655	FALSE	0.0029581
ABHD12	0.0859154929577465	2.87	-0.96	1774	FALSE	378	5804.28027344	16	15.142129	FALSE	1.9476e-05
ABHD12B	0.456834532374101	2.11	-0.61	1281	FALSE	280	4089.71972656	9	0	FALSE	3.7965e-15
ABHD15	0.114682249817385	2.61	0.88	1423	FALSE	171	1104.57128906	3	0	FALSE	3.5459e-08
ABHD16A	0.0807692307692308	3.44	1.57	2253	FALSE	309	5514.80859375	7	11.389447	FALSE	0.47336
ABHD16B	0.136427566807314	1.92	-0.77	1410	FALSE	273	5940.81787109	5	1.57571	FALSE	7.4371e-05
ABHD17C	0.0207317073170732	2.43	-0.33	1022	FALSE	194	1561.75720215	2	10.416359	FALSE	0.95762
ABHD2	0.0142487046632124	3.85	1.7	1408	FALSE	419	9767.64257812	9	18.839675	FALSE	0.68151
ABHD3	0.130372492836676	3.28	-0.08	1449	FALSE	344	5012.86669922	5	1.779399	FALSE	1.6717e-09
ABHD4	0.0888610763454318	3.67	1.76	1156	FALSE	373	4902.31591797	9	3.925431	FALSE	2.2197e-08
ABHD5	0.0759013282732448	3.43	-0.15	1165	FALSE	537	8524.08496094	12	2.5705	FALSE	6.4201e-07
ABHD6	0.0435435435435435	3.2	-1.29	1126	FALSE	386	5171.48242188	13	7.913468	FALSE	2.2313e-05
ABHD8	0.0367041198501873	1.46	-0.2	1511	FALSE	397	7365.45507812	10	18.86384	FALSE	0.97027
ABI2	0.0459518599562363	4.24	1.95	1897	FALSE	682	10242.9951172	37	44.097731	FALSE	0.43122
ABI3BP	0.309597523219814	2.36	1.49	6469	FALSE	237	3358.36962891	4	0	FALSE	1.0074e-08
ABL1	0.0879478827361563	2.94	0.33	3699	TRUE	2431	61355.0742188	143	19.754321	TRUE	0.99998
ABL2	0.323891625615764	3.54	2.14	3894	FALSE	1392	25751.4570312	67	5.047658	TRUE	3.6365e-07
ABLIM1	0.252774352651048	3.81	0.24	2924	FALSE	505	9245.29296875	20	14.090974	TRUE	0.9301
ABLIM2	0.0790305584826133	2.24	-0.13	2383.66666666667	FALSE	479	4985.73681641	30	1.85166	TRUE	0.0045858
ABR	0.312772133526851	4.05	0.81	3503	FALSE	450	4635.04833984	22	59.314575	TRUE	0.62738
ABRA	0.229166666666667	2.33	1.94	1162	FALSE	372	5052.17382812	4	0	TRUE	6.1508e-06
ABRAXAS2	0.0435865504358655	3.22	1.5	1376	FALSE	187	1451.05163574	2	6.760174	FALSE	0.020167
ABTB1	0.0640748740100792	2.66	0.33	1613	FALSE	989	14093.9257812	43	1.561468	FALSE	2.1295e-05
ABTB2	0.0775147928994083	3.37	2.02	3334	FALSE	255	3198.89794922	6	2.209558	FALSE	0.0046627
ACAA2	0.212171052631579	2.59	-1.56	1353	FALSE	740	6729.86865234	16	7.807079	FALSE	3.7065e-10
ACACA	0.0542299349240781	4.12	2.31	8345	FALSE	8	0.320224910975	1	18.373587	FALSE	1
ACACB	0.135224526845156	2.56	0.46	8339	FALSE	976	17068.8339844	23	0	FALSE	7.6499e-47
ACAD10	0.503442340791738	2.01	-0.86	3650	FALSE	1088	33537.8828125	18	1.27261	FALSE	1.0177e-30
ACAD11	NA	2.6	-0.98	2681	FALSE	362	3895.03979492	8	2.510352	FALSE	5.1833e-15
ACAD8	0.219178082191781	2.74	-2.47	1570	FALSE	461	5067.56835938	7	4.373814	FALSE	5.6389e-14
ACAD9	0.200253485424588	2.25	-1.19	2182	FALSE	613	8319.72949219	10	6.197102	FALSE	4.5256e-08
ACADL	0.548538011695906	3.12	-0.97	1453	FALSE	580	5684.19775391	6	0	FALSE	1.743e-12
ACADM	0.224431818181818	3.34	-1.66	1577	FALSE	1025	15483.7763672	24	5.968133	TRUE	2.0548e-12
ACADSB	0.257982120051086	1.97	-1.09	1459	FALSE	571	10617.234375	9	3.135558	FALSE	2.6565e-11
ACADVL	0.469191270860077	3.03	0.31	2493	FALSE	713	11354.8671875	11	16.026897	FALSE	4.2385e-15
ACAN	0.453881278538813	1.62	0.87	7989	FALSE	1077	21434.1191406	65	0	FALSE	1
ACAP1	0.334457181389076	2.7	0.39	2614	FALSE	750	17644.8515625	28	0	FALSE	0.067617
ACAP2	0.0385232744783307	4.05	2.03	2689	FALSE	640	7021.16503906	25	1.68809	FALSE	0.92325
ACAP3	0.035048049745619	1.9	1.01	2873	FALSE	710	21522.6191406	31	10.984697	FALSE	4.4135e-06
ACAT1	0.21551724137931	2.82	-0.93	1522	FALSE	863	9376.00390625	17	11.365811	TRUE	9.8525e-08
ACAT2	0.541042468348824	2.08	-0.57	1472	FALSE	805	9305.85058594	17	30.617929	FALSE	5.5303e-07
ACBD3	0.153846153846154	3.36	2.25	1699	FALSE	428	5644.58642578	9	12.957837	FALSE	0.010653
ACBD5	0.698224852071006	2.98	0.9	1853	FALSE	385	5308.46337891	8	9.921753	FALSE	0.006148
ACBD6	0.0804597701149425	3.26	-0.74	961	FALSE	315	2702.10375977	12	21.777118	FALSE	2.2569e-06
ACCS	0.19405756731662	2.15	-1.31	1715	FALSE	386	2443.09521484	15	0	FALSE	8.9836e-07
ACCSL	0.379814077025232	0.35	-0.67	1915	FALSE	383	3948.47851562	12	0	FALSE	8.5206e-18
ACD	0.516778523489933	1.02	0.06	1811	FALSE	5	0.24387563765	1	12.976236	TRUE	1.1148e-12
ACE	0.0690172543135784	2.24	1.3	5096	FALSE	1616	35240.1484375	44	0	FALSE	1.0344e-37
ACE2	0.570034443168771	2.52	1.69	2690	FALSE	669	8920.51757812	10	0	FALSE	0.99769
ACER1	0.106649111257406	1.45	-0.3	875	FALSE	289	3481.40014648	2	0	FALSE	0.0021705
ACER3	0.312056737588652	3.7	0.37	1011	FALSE	356	5028.14892578	5	2.96462	FALSE	0.87464
ACHE	0.156737998843262	2.55	1.19	2036	FALSE	1164	32024.6582031	63	2.841117	TRUE	0.99827
ACIN1	0.236686390532544	3.57	4.53	4471	FALSE	698	9100.12792969	26	16.499531	FALSE	1
ACKR1	0.689106487148103	0.33	-0.75	1046	FALSE	699	10192.5244141	24	5.265749	FALSE	0.00021424
ACKR3	0.0261386138613861	3.07	-0.7	1089	FALSE	675	6368.39257812	33	7.163807	FALSE	0.39134
ACLY	0.00988142292490119	3.63	1.46	3738	FALSE	1309	17902.6132812	39	79.412356	FALSE	0.083556
ACO1	0.0724852071005917	3.58	-0.54	2974	TRUE	956	12484.78125	20	7.959285	FALSE	3.8322e-18
ACO2	0.0438169425511198	3.41	1.66	2690	FALSE	1165	14464.0117188	30	33.111342	FALSE	0.20791
ACOT11	0.232089994079337	2.82	0.44	2244	FALSE	398	6747.58740234	12	0	FALSE	1.0844e-16
ACOT12	0.138310893512852	2.47	-0.57	1900	FALSE	340	3201.71777344	8	0	FALSE	2.7282e-14
ACOT13	0.952797202797203	1.65	-2.35	475	FALSE	624	11159.9277344	6	4.250747	FALSE	3.1271e-06
ACOT7	0.288894778690697	2.95	-0.23	1569	FALSE	493	6853.96826172	24	25.721182	FALSE	0.75926
ACOT8	0.225058004640371	2.71	0.85	1071	FALSE	459	5904.50878906	7	5.490729	FALSE	5.9662e-06
ACOX1	0.124767225325885	3.12	-0.05	2368	FALSE	873	11400.5146484	12	10.329985	FALSE	0.062095
ACOX2	0.370395634379263	1.55	-0.42	2254	FALSE	707	17012.6621094	4	0	FALSE	2.1841e-10
ACOX3	0.281376518218623	1.04	-0.99	2359	FALSE	539	5804.30517578	6	4.384924	FALSE	7.6016e-16
ACOXL	0.786516853932584	2.13	-0.08	2185	FALSE	436	8660.17480469	2	0	FALSE	5.2479e-15
ACP2	0.153846153846154	3.1	1.46	1622	FALSE	430	5510.42578125	10	8.533764	TRUE	6.2383e-05
ACP4	0.174973488865323	1.64	0.69	1441	FALSE	253	2193.25415039	3	0	FALSE	8.621e-15
ACP5	0.115074798619102	1.86	-0.57	1026	FALSE	1010	16734.9902344	47	0	FALSE	0.078651
ACPP	0.841620626151013	2.13	0.02	1440	FALSE	467	8563.28515625	4	0	FALSE	2.5463e-16
ACR	0.285714285714286	0.43	1.03	1412	FALSE	480	8810.72460938	10	0	FALSE	0.012215
ACRBP	0.326359832635983	1.51	-0.1	1794	FALSE	361	9055.23730469	1	0	FALSE	2.6954e-10
ACSBG1	0.286253143336127	2.33	0.12	2562	FALSE	616	11389.8632812	13	2.911903	FALSE	3.959e-05
ACSBG2	0.32566168009206	0.33	0.08	2196.33333333333	FALSE	647	18110.0175781	5	0	FALSE	1.0757e-10
ACSF2	0.454545454545455	2.2	0.97	2179	FALSE	517	5836.61474609	10	0	FALSE	1.4241e-05
ACSF3	0.368545911247558	1.47	-0.31	1889	FALSE	NA	NA	NA	2.008482	FALSE	2.3246e-26
ACSL1	0.495601173020528	2.72	0.22	2534	FALSE	1028	22224.1074219	22	7.054564	FALSE	0.0015324
ACSL3	0.0779537149817296	2.99	1.21	2494	FALSE	1054	26998.2636719	33	13.935014	TRUE	0.00034758
ACSL4	0.0419426048565121	4.26	0.85	2344	FALSE	1071	27898.6582031	44	16.246261	FALSE	0.98103
ACSL5	0.427350427350427	2.7	1.51	2605	FALSE	961	19403	12	0	FALSE	2.8888e-09
ACSL6	0.560040026684456	3.51	0.6	2715	FALSE	995	24187.3085938	32	1.101631	FALSE	0.0032201
ACSM1	0.525222551928783	1.02	-0.39	2046	FALSE	499	8586.34863281	19	0	FALSE	2.2841e-15
ACSM4	0.458585858585859	1.95	0.14	1935	FALSE	339	2073.45996094	7	0	FALSE	4.0476e-19
ACSS1	0.137472283813747	2.09	-0.96	2649	FALSE	686	8737.24414062	14	1.133653	FALSE	3.0776e-07
ACSS2	0.123711340206186	3.73	0.12	2596	FALSE	806	11068.4208984	17	3.837066	FALSE	1.1443e-13
ACSS3	0.403553299492386	3.53	0.15	2303	FALSE	463	4903.80029297	10	0	FALSE	5.0483e-13
ACTA1	0	3.22	2.17	1214	FALSE	2339	88147.984375	123	1.202161	FALSE	1.1385e-06
ACTA2	0	4.08	-1.76	1248	FALSE	2310	58497.3828125	125	1.126545	FALSE	0.93017
ACTC1	0	3.73	0.06	1214	FALSE	2065	57161.8515625	113	0	FALSE	0.73668
ACTG2	0	3.34	3.04	1425	FALSE	1824	33497.109375	89	0	FALSE	0.071036
ACTL6A	0	3.94	0.85	1500	FALSE	2216	48400.3320312	122	5.68128	TRUE	0.99665
ACTL6B	0.0705229793977813	3.79	2.52	1489	FALSE	2038	61126.1171875	126	49.184742	TRUE	0.00028347
ACTL7A	0.0617715617715618	2.44	1.2	1308	FALSE	910	8519.95507812	49	0	FALSE	5.1316e-07
ACTL7B	0.04070042593469	2.31	-0.24	1248	FALSE	990	20711.8144531	48	0	FALSE	2.4547e-06
ACTL8	0.0993560257589696	-0.01	-0.43	1117	FALSE	962	17154.5507812	53	0	FALSE	0.31835
ACTL9	0.124707259953162	0.83	-1.17	1251	FALSE	977	28215.6015625	49	0	FALSE	0.0040543
ACTN1	0.0875576036866359	3.63	1.59	3378	FALSE	1404	36547.5	50	2.828934	FALSE	0.99997
ACTN2	0.00899280575539568	3.55	0.35	3107	FALSE	1589	33502.8554688	72	2.712529	TRUE	0.99968
ACTN4	0	2.83	1.9	3261	FALSE	1411	27444.5839844	52	15.821114	FALSE	1
ACTR10	0.388945752302968	3.9	0.34	1446	FALSE	1493	33643.4726562	68	23.654816	FALSE	0.0015053
ACTR1A	0	4.18	2.92	1291	FALSE	1408	27312.5019531	79	80.620167	FALSE	0.96621
ACTR2	0.859937592291913	4.31	1.49	1413	FALSE	1635	33558.5078125	77	39.723925	FALSE	0.99896
ACTR3B	0	2.66	-0.08	1433	FALSE	1029	15197.9570312	50	9.877471	FALSE	0.99911
ACTR5	0.132569558101473	2.89	-0.3	1952	FALSE	342	2373.69873047	19	4.390496	FALSE	1.1352e-09
ACTR6	0	4.23	0.45	1463	FALSE	548	4841.69824219	26	8.353979	FALSE	5.4629e-09
ACTR8	0.0215208034433286	3.84	-1.43	2094	FALSE	782	5855.58544922	44	8.81399	FALSE	5.4097e-15
ACTRT2	0.105645612073784	1.73	-0.83	1134	FALSE	963	24894.0410156	48	0	FALSE	0.0004766
ACVR1	0.0195652173913043	4.01	1.19	1658	TRUE	1329	16105.4433594	96	8.885968	TRUE	0.3254
ACVR1B	0.0607375271149675	3.06	1.52	2027	TRUE	1371	17355.4707031	102	27.591979	TRUE	0.99969
ACVR1C	0.0917874396135266	3.59	0.07	1610	FALSE	1090	10622.0947266	67	0	FALSE	0.00085157
ACVR2A	0	4.4	2.22	1702	TRUE	1197	18411.4277344	94	12.936148	FALSE	0.99972
ACVR2B	0	3.25	1.61	1699	TRUE	1176	14336.7900391	86	1.693427	TRUE	0.83412
ACVRL1	0.0634774609015639	2.75	2.22	1682	FALSE	1264	18639.96875	63	1.721343	TRUE	0.00096719
ACY1	NA	2.56	-0.26	1933	FALSE	652	8762.15917969	11	3.337603	FALSE	6.9169e-09
ACY3	0.190158465387823	0.68	-0.28	1040	FALSE	282	3446.8046875	4	0	FALSE	5.4152e-06
ADA	0.21978021978022	2.32	-0.81	1268	FALSE	1213	21127.6699219	24	0	TRUE	2.8825e-12
ADAD2	0.255908720456398	1.06	-1.34	2158	FALSE	135	446.6199646	3	0	FALSE	2.3904e-12
ADAM10	0.075	3.84	1.77	2698	FALSE	1242	47620.5	56	9.958287	TRUE	1
ADAM11	0.12	3.05	0.14	2728	FALSE	795	13851.1845703	42	4.06278	FALSE	1.0387e-05
ADAM12	0.424572317262831	1.84	0.77	3194	FALSE	700	17172.6542969	27	0	FALSE	5.7284e-07
ADAM17	0.487667009249743	2.95	1.24	2786	FALSE	1160	13216.7373047	49	5.278218	TRUE	0.99528
ADAM18	0.570483460559796	1.42	-0.8	2551	FALSE	144	1143.36828613	2	0	FALSE	6.8847e-35
ADAM19	0.125778331257783	2.58	0.96	3480	FALSE	455	7288.27539062	17	2.884246	TRUE	6.8e-05
ADAM2	0.677884615384615	-0.09	-0.67	2514	FALSE	451	17032.15625	5	0	FALSE	1.8889e-22
ADAM20	0.662857142857143	-0.22	0.18	2331	FALSE	221	2617.85913086	4	0	FALSE	NA
ADAM22	0.131229235880399	3.81	1.4	3571.33333333333	FALSE	626	7641.43017578	38	4.38909	FALSE	0.25101
ADAM23	0.321339950372208	3.62	1.76	3097	FALSE	515	9136.26953125	24	8.562948	FALSE	0.99709
ADAM30	0.650211565585331	-0.81	-1.23	2373	FALSE	254	4260.16113281	4	0	FALSE	NA
ADAM32	0.596658711217184	1.29	-1.23	3008	FALSE	317	9165.82421875	1	0	FALSE	2.1571e-15
ADAM33	0.319103521878335	1.59	-0.62	2780	FALSE	508	9579.23339844	9	0	FALSE	2.1487e-15
ADAM7	0.490316901408451	1.55	0.09	2772	FALSE	329	8423.59082031	1	0	FALSE	1.1927e-19
ADAM8	0.257632565613283	0.31	-1.05	3038	FALSE	752	13488.9345703	7	0	FALSE	2.1983e-14
ADAM9	0.166123778501629	2.64	0.47	2969	FALSE	648	15780.3818359	24	2.752793	FALSE	0.029431
ADAMTS1	0.0564705882352941	2.78	0.18	3056	FALSE	729	14161.2304688	28	0	FALSE	0.71601
ADAMTS10	0.0411081322609473	2.86	-0.57	3739	FALSE	274	2958.47070312	10	7.334481	FALSE	0.84288
ADAMTS12	0.257352941176471	2.55	0.89	5218	FALSE	401	5170.96679688	17	0	FALSE	2.4806e-17
ADAMTS13	0.448390151515152	1.22	-0.47	4962	FALSE	358	3667.33300781	11	0	FALSE	5.1409e-15
ADAMTS14	0.151390319258496	2.22	0.97	4017	FALSE	307	3765.06347656	9	0	FALSE	4.7565e-14
ADAMTS15	0.035475234270415	3.13	1.54	2965	FALSE	253	1873.13818359	4	0	FALSE	1.6672e-06
ADAMTS16	0.117088607594937	1.75	-0.1	4039	FALSE	258	2744.29003906	12	0	FALSE	0.00044629
ADAMTS17	0.0703275529865125	2.76	1.9	3624	FALSE	249	2382.53857422	8	0	FALSE	2.802e-15
ADAMTS18	0.470538001707942	2.71	1.82	4018	FALSE	404	7437.49707031	18	0	FALSE	1.0716e-29
ADAMTS19	0.163551401869159	2.56	1.38	3976	FALSE	276	4847.49755859	4	0	FALSE	5.9648e-08
ADAMTS2	0.0714285714285714	2.66	1.89	4052	FALSE	529	9926.67578125	14	0	FALSE	0.9661
ADAMTS20	0.491525423728814	1.91	1.45	6580	FALSE	284	3254.94262695	6	0	FALSE	4.4534e-38
ADAMTS3	0.234299516908213	3.25	2.27	3954	FALSE	511	6604.78564453	26	1.73729	FALSE	1.0278e-10
ADAMTS4	0.34019439679817	2.53	1.83	2705	FALSE	537	6722.12939453	25	0	TRUE	1.9501e-06
ADAMTS5	0.132262051915946	2.78	2.18	2905	FALSE	504	4937.45556641	31	0	FALSE	8.0325e-07
ADAMTS6	0.054140127388535	4.53	3.59	3916	FALSE	352	5914.41162109	15	0	FALSE	0.99998
ADAMTS7	0.341792877609497	1.27	0.06	5429	FALSE	368	6364.94042969	13	2.527186	FALSE	2.2517e-14
ADAMTS8	0.0790378006872852	2.22	-0.78	2798	FALSE	332	4991.77978516	5	0	FALSE	1.1981e-10
ADAMTS9	0.072790294627383	3.04	2.27	6420	FALSE	509	8507.91210938	20	0	FALSE	1.0004e-06
ADAMTSL1	0.0523138832997988	3.45	4.91	6017	FALSE	502	9109.328125	16	0	FALSE	3.1241e-12
ADAMTSL2	0.0386352232814852	2.26	-0.19	3471	FALSE	190	1076.97351074	6	1.007793	FALSE	0.0016001
ADAMTSL3	0.264214046822743	1.78	1.38	5568	FALSE	394	8518.75585938	13	0	FALSE	1.3662e-19
ADAMTSL4	0.338264299802761	2.01	0.38	3641	FALSE	371	5931.08886719	19	0	FALSE	2.6008e-28
ADAMTSL5	0.11630558722919	1.43	0.05	1670	FALSE	163	1038.1270752	0	0	FALSE	3.7025e-11
ADAP1	0.0173913043478261	2.04	-0.32	1520	FALSE	764	11937.6708984	24	6.679247	FALSE	0.5333
ADAP2	0.249032258064516	3.09	-0.28	1324	FALSE	824	12172.7900391	22	0	TRUE	4.2394e-10
ADAR	0.294755877034358	1.9	0.14	4057	FALSE	911	18611.9199219	55	30.263384	FALSE	0.026282
ADARB1	0.163972286374134	2.21	0.09	2387	FALSE	464	7841.63085938	22	4.116706	FALSE	0.80347
ADARB2	0.0279424216765453	2.38	-0.68	2573	FALSE	564	9649.87792969	44	0	FALSE	0.85603
ADAT1	0.239515377446412	2.61	-1.24	1721	FALSE	208	2321.72412109	7	3.357186	FALSE	2.5388e-13
ADAT3	0.029664324746292	0.89	0.05	1104	FALSE	599	14457.3007812	7	0	FALSE	0.0056059
ADCK2	0.31156462585034	1.42	0.8	2034	FALSE	349	4053.82348633	12	14.823995	FALSE	3.6479e-07
ADCK5	0.0900735294117647	1.32	-0.38	2057	FALSE	325	3548.20800781	8	2.157322	FALSE	0.0043693
ADCY1	0.0481770833333333	2.67	0.42	3759	FALSE	1439	29460.90625	78	31.663548	TRUE	0.99747
ADCY10	0.795031055900621	1.82	1.45	5419	FALSE	1792	58505.7578125	73	0	FALSE	7.3834e-41
ADCY2	0.046767537826685	3.03	-0.8	3848	FALSE	1349	28445.4121094	64	2.593515	TRUE	0.99898
ADCY3	0.0829571106094808	3.1	0.64	3861.66666666667	FALSE	1420	56999.1054688	53	7.568204	TRUE	1.9545e-11
ADCY4	0.128263337116913	3.17	0.57	3642	FALSE	1154	22395.890625	40	0	TRUE	1.0791e-18
