ensembl_transcript_enst	ensembl_transcript_version	hgnc_symbol	obs_missense	exp_missense	overall_chisq	n_regions	ensembl_gene_id
ENST00000024061	3	SLC45A4	346	398.363093528	6.88290057078	1	ENSG00000022567
ENST00000025008	5	RB1CC1	425	422.114339606	0.019726967619	1	ENSG00000023287
ENST00000025301	2	AKAP11	611	506.602148339	21.5137489393	1	ENSG00000023516
ENST00000026218	5	PIGQ	310	299.622857525	0.359402105836	1	ENSG00000007541
ENST00000027335	3	CDH17	299	261.582291428	5.35236887453	1	ENSG00000079112
ENST00000029410	5	B4GALT7	155	152.072982967	0.0563376119929	1	ENSG00000027847
ENST00000033079	3	FAM13B	273	255.643614628	1.17837526911	1	ENSG00000031003
ENST00000035307	2	CHPF2	356	349.131136977	0.13513913322	1	ENSG00000033100
ENST00000035383	5	LRRC7	342	471.171352895	35.4122514158	3	ENSG00000033122
ENST00000037243	2	GABARAPL2	24	42.5902208921	8.11445222821	1	ENSG00000034713
ENST00000037502	6	MYOC	165	167.321769646	0.0322170528096	1	ENSG00000034971
ENST00000037869	3	FAM136A	56	48.3956499418	1.19486234564	1	ENSG00000035141
ENST00000039007	4	OTC	58	72.7646473487	2.99588906529	1	ENSG00000036473
ENST00000039989	4	TTC17	347	361.816161448	0.606713197005	1	ENSG00000052841
ENST00000040584	4	HOXC8	78	108.595762818	8.62004813214	1	ENSG00000037965
ENST00000040663	6	MRI1	132	143.239125001	0.881867512007	1	ENSG00000037757
ENST00000040738	5	BOD1L1	954	826.125448593	19.7934840592	2	ENSG00000038219
ENST00000040877	1	TARBP1	505	476.148411282	1.74822419197	2	ENSG00000059588
ENST00000043402	7	RTN4R	172	216.433835464	9.12226006547	1	ENSG00000040608
ENST00000044462	7	PSMA4	36	77.3011063294	22.0667137254	2	ENSG00000041357
ENST00000046087	2	ZPBP	117	118.093916981	0.0101330736739	1	ENSG00000042813
ENST00000046794	5	LCP2	162	163.522540677	0.0141762114529	1	ENSG00000043462
ENST00000052754	5	DCN	104	111.786846866	0.542416087554	1	ENSG00000011465
ENST00000053243	1	TNFRSF17	97	64.4347273749	16.4584692813	1	ENSG00000048462
ENST00000053468	3	MRPS10	61	61.9850811904	0.0156551372206	1	ENSG00000048544
ENST00000053867	3	GRN	229	248.088836523	1.46876290326	1	ENSG00000030582
ENST00000054650	4	THAP3	78	93.9918655441	2.72087123817	1	ENSG00000041988
ENST00000054666	6	VAMP3	36	37.9464381522	0.0998412938059	1	ENSG00000049245
ENST00000054668	5	UTS2	46	48.1493315182	0.0959437198737	1	ENSG00000049247
ENST00000054950	3	RCN1	66	90.8541577641	6.79912921285	1	ENSG00000049449
ENST00000055077	3	RFC2	86	122.856206656	11.0566653979	1	ENSG00000049541
ENST00000055335	6	PPP1R3F	149	176.537042267	4.29535176908	1	ENSG00000049769
ENST00000056233	3	NFE2L3	297	194.170686378	54.4565605514	2	ENSG00000050344
ENST00000061240	2	TLL1	298	329.289671515	2.97319845786	1	ENSG00000038295
ENST00000062104	2	NNAT	23	38.1568669583	6.02068865463	1	ENSG00000053438
ENST00000064571	2	CBLN4	41	95.0674331201	30.7496187522	1	ENSG00000054803
ENST00000064724	3	CLDN11	49	76.086008311	9.64240157304	1	ENSG00000013297
ENST00000064780	2	RELT	194	180.759127105	0.969913485562	1	ENSG00000054967
ENST00000070846	6	PKP2	334	331.447054041	0.019663873889	1	ENSG00000057294
ENST00000072644	1	YIPF1	123	96.986517757	6.97727141931	1	ENSG00000058799
ENST00000072869	4	ADCK2	184	256.062627032	20.2802817222	1	ENSG00000133597
ENST00000074304	5	INPP4A	220	341.03746146	42.9573543444	2	ENSG00000040933
ENST00000075120	7	SLC2A3	106	176.469719376	28.1406995288	3	ENSG00000059804
ENST00000075503	3	STYK1	142	141.349009711	0.0029981699686	1	ENSG00000060140
ENST00000078429	4	GNA11	52	191.307144849	101.441483648	1	ENSG00000088256
ENST00000078445	2	CREB3L3	195	180.045973675	1.24203223639	1	ENSG00000060566
ENST00000080059	7	HDAC7	258	333.587712698	17.1274363337	2	ENSG00000061273
ENST00000081029	3	MRPS35	117	100.775429879	2.61211166193	1	ENSG00000061794
ENST00000083182	3	APPBP2	90	180.30402859	45.2281496058	1	ENSG00000062725
ENST00000084798	4	CA11	70	124.009718643	23.522750796	1	ENSG00000063180
ENST00000085068	3	ISOC2	92	82.1369235962	1.18436717481	1	ENSG00000063241
ENST00000085219	5	CD22	308	294.690678083	0.601098246661	1	ENSG00000012124
ENST00000086933	2	GSC2	43	56.9101310029	3.39995254111	1	ENSG00000063515
ENST00000155093	3	ZFY	37	44.1175431487	1.14828290194	1	ENSG00000067646
ENST00000155840	5	KCNQ1	200	295.900013637	31.080811733	2	ENSG00000053918
ENST00000155858	6	TRPM5	469	426.055247482	4.32866812396	1	ENSG00000070985
ENST00000155926	4	TRIB2	77	151.420938675	36.5766859041	1	ENSG00000071575
ENST00000156084	4	OTUD5	24	128.923127104	85.3909057949	1	ENSG00000068308
ENST00000156109	5	GPKOW	108	117.401819738	0.752920308959	1	ENSG00000068394
ENST00000156471	5	AQR	322	458.074948352	40.4221877569	3	ENSG00000021776
ENST00000156626	7	ST6GALNAC1	233	215.667350993	1.39298192428	1	ENSG00000070526
ENST00000156825	1	MBD3	98	149.850907357	17.9412767076	1	ENSG00000071655
ENST00000157600	3	LMCD1	133	155.115230383	3.15303283685	1	ENSG00000071282
ENST00000157812	2	PSMC4	54	174.103964544	82.8525779812	3	ENSG00000013275
ENST00000158009	5	FNDC8	120	111.826543237	0.597401954123	1	ENSG00000073598
ENST00000158166	5	CAMKK1	172	204.065115476	5.03844877213	1	ENSG00000004660
ENST00000158762	3	ACAP1	205	286.953579179	23.4058385313	1	ENSG00000072818
ENST00000158771	4	DERL2	49	86.2933588484	16.1170527229	1	ENSG00000072849
ENST00000159060	2	NOX3	230	194.443464068	6.50197862694	1	ENSG00000074771
ENST00000159111	4	KDM4B	309	476.346779563	58.7910863083	4	ENSG00000127663
ENST00000160262	5	ICAM3	194	250.019229715	12.5516509328	1	ENSG00000076662
ENST00000160373	3	CTTNBP2	565	514.329071581	4.99202383971	1	ENSG00000077063
ENST00000160382	5	ACTL6B	61	168.232589615	68.3507773483	1	ENSG00000077080
ENST00000160827	4	KIF22	254	273.492503863	1.38928015022	1	ENSG00000079616
ENST00000161006	3	PRSS22	103	119.600550831	2.30415567463	1	ENSG00000005001
ENST00000161559	6	CEACAM1	165	166.963514069	0.023091197616	1	ENSG00000079385
ENST00000161863	4	YTHDC2	466	425.605932019	3.83378286188	1	ENSG00000047188
ENST00000162023	5	MEF2B	93	116.264457366	4.65520580239	3	ENSG00000213999
ENST00000162044	9	TMEM161A	165	179.995475739	1.24927747057	1	ENSG00000064545
ENST00000162391	3	FOXJ2	178	186.95161367	0.428620998333	1	ENSG00000065970
ENST00000162749	2	TNFRSF1A	104	157.937384132	18.4202202852	1	ENSG00000067182
ENST00000163416	2	GOLGA5	225	217.532820967	0.256323447946	1	ENSG00000066455
ENST00000164024	4	CELSR3	1017	1506.79310724	159.210502588	2	ENSG00000008300
ENST00000164133	2	PPP2R5B	109	183.382437231	30.1705389675	2	ENSG00000068971
ENST00000164139	3	PYGM	350	375.582835165	1.74257552208	1	ENSG00000068976
ENST00000164227	5	BCL3	99	152.366664751	18.6917585374	3	ENSG00000069399
ENST00000164305	5	PIGB	159	131.215872779	5.88311237868	1	ENSG00000069943
ENST00000164640	4	PDZD4	139	262.108428956	57.8221972502	3	ENSG00000067840
ENST00000165524	1	PRLH	52	38.541062159	4.70000040637	1	ENSG00000071677
ENST00000166139	4	FSTL3	50	75.0352096123	8.35290157208	1	ENSG00000070404
ENST00000166244	3	EPHA8	447	472.512849702	1.37754031525	1	ENSG00000070886
ENST00000166345	3	TRIP13	97	149.623072251	18.5077588068	1	ENSG00000071539
ENST00000167106	4	VASH1	95	142.053777893	15.5860551325	1	ENSG00000071246
ENST00000167586	6	KRT14	148	205.419440202	16.0500491572	1	ENSG00000186847
ENST00000167588	3	KRT20	140	159.348631892	2.34937414671	1	ENSG00000171431
ENST00000168148	3	SPP2	88	75.647769667	2.01694768889	1	ENSG00000072080
ENST00000168216	6	HSD17B10	22	60.6333373178	24.6157447097	2	ENSG00000072506
ENST00000168712	1	FGF4	39	73.9060937354	16.4862640992	1	ENSG00000075388
ENST00000168977	2	NMRK2	98	92.4361458845	0.334895752327	1	ENSG00000077009
ENST00000169298	3	ST6GAL1	124	129.191898275	0.208649366202	1	ENSG00000073849
ENST00000169551	6	TIMM21	98	90.4643106596	0.627723943522	1	ENSG00000075336
ENST00000170150	3	BPIFB2	168	169.912079964	0.0215173034672	1	ENSG00000078898
ENST00000170168	4	REXO1	526	480.73983888	4.26110344702	1	ENSG00000079313
ENST00000170447	7	MKRN2	146	152.956056292	0.316343924601	1	ENSG00000075975
ENST00000170564	2	GPATCH1	324	310.325047913	0.60260786501	1	ENSG00000076650
ENST00000171111	5	KEAP1	131	298.956602677	94.3595830641	1	ENSG00000079999
ENST00000171757	2	P2RY10	54	76.5565907888	6.64606120479	1	ENSG00000078589
ENST00000171887	4	TNS1	694	660.50294869	1.69878491636	1	ENSG00000079308
ENST00000172229	3	NGFR	135	196.438753493	19.2157624891	1	ENSG00000064300
ENST00000173527	5	ISOC1	101	114.281582315	1.54355955898	1	ENSG00000066583
ENST00000173898	7	TRO	270	266.437297917	0.0476391489917	1	ENSG00000067445
ENST00000174618	4	MNT	184	216.902349323	4.99102289267	1	ENSG00000070444
ENST00000175091	4	LAPTM4A	77	77.8869876103	0.0101011355682	1	ENSG00000068697
ENST00000175238	6	ADAM7	270	225.949792347	8.58784057343	1	ENSG00000069206
ENST00000175506	4	ASNS	141	182.418429266	9.40412813422	1	ENSG00000070669
ENST00000175756	5	PTPN18	162	192.602437642	4.8623953107	3	ENSG00000072135
ENST00000176183	5	DRD4	168	192.241549813	3.05684560857	1	ENSG00000069696
ENST00000176195	3	SCT	8	8.84502274379	0.0807305371844	1	ENSG00000070031
ENST00000176763	5	STK10	344	405.013032526	9.19128482063	1	ENSG00000072786
ENST00000177694	1	TBX21	126	213.1242931	35.6160357781	3	ENSG00000073861
ENST00000178638	3	CA12	129	127.996874475	0.00786160461341	1	ENSG00000074410
ENST00000178640	5	MAP2K5	106	138.763117151	7.73564234868	2	ENSG00000137764
ENST00000180166	5	FGF20	70	67.6980576547	0.0782731254763	2	ENSG00000078579
ENST00000180173	5	MTMR7	300	226.041073429	24.198800406	1	ENSG00000003987
ENST00000181383	4	CPB2	106	134.231766397	5.93773482466	1	ENSG00000080618
ENST00000181796	2	FAM107B	115	111.129757811	0.134786351549	1	ENSG00000065809
ENST00000181839	4	CDK13	322	492.725292163	59.1549202927	4	ENSG00000065883
ENST00000182096	4	CRYBG3	327	282.794812345	6.90995212907	1	ENSG00000080200
ENST00000182290	4	TSPAN32	127	102.782456502	5.70612372052	1	ENSG00000064201
ENST00000182527	3	TRAM2	95	137.843469932	13.31628489	1	ENSG00000065308
ENST00000183605	5	CLDN18	91	96.0007788748	0.260495692303	1	ENSG00000066405
ENST00000184183	4	ROPN1	58	73.3223515354	3.20194936001	3	ENSG00000065371
ENST00000184266	2	NDUFB4	53	50.1645391497	0.160269353008	1	ENSG00000065518
ENST00000184956	6	HEATR6	379	362.100798259	0.788683761098	1	ENSG00000068097
ENST00000185150	4	ERLEC1	144	152.013641049	0.422451843214	1	ENSG00000068912
ENST00000185206	6	CLIC5	100	94.3330719763	0.340432814843	1	ENSG00000112782
ENST00000186436	5	TMEM131	494	512.248428643	0.650085250285	1	ENSG00000075568
ENST00000187762	2	TMEM38A	95	114.75813404	3.40179686617	1	ENSG00000072954
ENST00000188312	2	ACTR6	87	120.418023824	9.27406280916	1	ENSG00000075089
ENST00000188790	4	FAP	242	223.047666665	1.61037747772	1	ENSG00000078098
ENST00000190165	2	DMRT3	229	203.873939111	3.09661420464	1	ENSG00000064218
ENST00000192314	6	GAL3ST2	133	177.846810792	11.3088136315	1	ENSG00000154252
ENST00000192788	5	UHRF1BP1	455	436.670360454	0.769403459256	1	ENSG00000065060
ENST00000193322	3	OSTM1	76	100.818942815	6.10976375312	1	ENSG00000081087
ENST00000193391	7	IMPG2	391	344.014801269	6.41719161994	1	ENSG00000081148
ENST00000194130	2	SLC13A1	198	177.375556211	2.39811894432	1	ENSG00000081800
ENST00000194214	5	HSPB11	48	41.3156049626	1.08145910139	1	ENSG00000081870
ENST00000194530	3	STRADB	76	117.098828013	14.4246846248	1	ENSG00000082146
ENST00000196061	4	PLOD1	292	306.812786319	0.715154805535	1	ENSG00000083444
ENST00000196371	5	OXCT1	104	175.137333785	28.8945831744	1	ENSG00000083720
ENST00000196489	3	ZNF416	156	169.450634672	1.06768306557	1	ENSG00000083817
ENST00000198536	2	PILRA	102	106.297179991	0.173718210338	1	ENSG00000085514
ENST00000198767	6	RRN3	176	192.029325245	1.33802098964	3	ENSG00000085721
ENST00000198801	5	MOGAT2	141	130.971036602	0.767956866296	1	ENSG00000166391
ENST00000199280	3	AQP2	85	121.186041187	10.80511884	1	ENSG00000167580
ENST00000199320	4	DIMT1	98	105.546740764	0.539602603953	1	ENSG00000086189
ENST00000199389	6	EIF2AK1	218	204.927370404	0.833922985607	1	ENSG00000086232
ENST00000199447	4	NME8	215	163.685538592	16.0867842832	1	ENSG00000086288
ENST00000199448	4	EPDR1	91	81.0312861127	1.22638133164	1	ENSG00000086289
ENST00000199708	2	HBQ1	27	48.4671168605	9.50824262211	1	ENSG00000086506
ENST00000199764	6	CEACAM6	121	119.814570946	0.0117284736848	1	ENSG00000086548
ENST00000199814	4	RBM22	67	143.729224541	40.9615644798	2	ENSG00000086589
ENST00000199936	4	HSD17B2	189	122.186245017	36.5350277708	1	ENSG00000086696
ENST00000200135	3	ZW10	248	237.860721267	0.432206598411	1	ENSG00000086827
ENST00000200181	3	ITGB4	709	825.445396322	16.4269258572	3	ENSG00000132470
ENST00000200453	5	PPP1R15A	261	234.540329313	2.98504813623	1	ENSG00000087074
ENST00000200457	4	TRIP6	183	192.149924849	0.435707298948	1	ENSG00000087077
ENST00000200557	6	ADAM11	200	317.89101882	43.7203050592	3	ENSG00000073670
ENST00000200652	3	SLC22A4	157	208.380615312	12.6689693564	2	ENSG00000197208
ENST00000200676	3	CETP	179	172.359234657	0.255859597091	1	ENSG00000087237
ENST00000200691	4	MT3	21	21.4638579638	0.0100244891162	1	ENSG00000087250
ENST00000201031	2	TFAP2C	87	183.051897601	50.4008270532	1	ENSG00000087510
ENST00000201586	2	SULT2B1	127	144.486072088	2.11620893739	1	ENSG00000088002
ENST00000201647	6	EPS8L1	286	324.812729127	4.63783530391	1	ENSG00000131037
ENST00000201979	2	REM1	119	125.884017415	0.376455222341	1	ENSG00000088320
ENST00000202017	4	PDRG1	38	41.5957094128	0.310828361005	1	ENSG00000088356
ENST00000202556	9	PPP1R13B	345	433.714978257	18.1463582344	1	ENSG00000088808
ENST00000202625	2	TGM6	320	287.872978496	3.58541991714	1	ENSG00000166948
ENST00000202677	7	RALGAPA2	579	515.98195052	7.69653774942	1	ENSG00000188559
ENST00000202816	1	ESF1	270	239.059501315	4.00450286895	1	ENSG00000089048
ENST00000202967	4	SIRT4	116	128.393888513	1.19638461192	1	ENSG00000089163
ENST00000203001	2	TRMT6	141	164.2061356	3.27956520929	1	ENSG00000089195
ENST00000203166	5	HAUS5	223	235.49825106	0.663301229903	1	ENSG00000249115
ENST00000203407	5	UQCRC1	191	203.959566117	0.823449260718	1	ENSG00000010256
ENST00000203556	4	GMIP	284	396.703229217	32.0189424749	3	ENSG00000089639
ENST00000203629	2	LAG3	181	163.327290991	1.91226243823	1	ENSG00000089692
ENST00000203630	5	MLF2	64	121.97264452	27.5539447874	2	ENSG00000089693
ENST00000203664	5	OTUB2	79	88.0490453492	0.92999556562	1	ENSG00000089723
ENST00000204517	6	TFAP4	88	151.637240271	26.7064893959	2	ENSG00000090447
ENST00000204566	2	SPG21	78	93.2965825565	2.50797437052	1	ENSG00000090487
ENST00000204604	1	CHRD	316	373.220367783	8.77275403978	1	ENSG00000090539
ENST00000204615	7	THPO	109	114.609503862	0.274554312802	1	ENSG00000090534
ENST00000204679	4	GNPTG	172	113.791356966	29.7759532374	1	ENSG00000090581
ENST00000204726	3	GOLGA3	625	584.060748523	2.86960271815	1	ENSG00000090615
ENST00000204961	4	EFNB1	56	78.2460221377	6.32473686754	1	ENSG00000090776
ENST00000205061	5	GLG1	328	452.43329179	34.2230432346	1	ENSG00000090863
ENST00000205143	4	DLL3	159	241.988171556	28.4602200757	1	ENSG00000090932
ENST00000205194	4	NAT14	50	56.8201495612	0.818625793778	1	ENSG00000090971
ENST00000205214	6	AASDH	345	296.023798178	8.10295780177	1	ENSG00000157426
ENST00000205402	5	DLD	141	146.910978663	0.237828847592	1	ENSG00000091140
ENST00000205557	7	ABCC6	541	496.902958819	3.9133376173	2	ENSG00000091262
ENST00000205636	3	CMTM6	51	49.4574990781	0.0481081562659	1	ENSG00000091317
ENST00000205948	6	APOH	116	115.034396395	0.00810531763558	1	ENSG00000091583
ENST00000206020	3	SPAG7	67	92.4316444816	6.99726316311	1	ENSG00000091640
ENST00000206423	3	CCDC80	347	347.092097485	2.44371648266e-05	1	ENSG00000091986
ENST00000206474	7	HAUS4	109	115.220547687	0.335836049215	1	ENSG00000092036
ENST00000206513	5	CEBPE	130	126.075483651	0.122163549364	1	ENSG00000092067
ENST00000206542	4	OSGEP	113	139.478202322	5.02655745881	2	ENSG00000092094
ENST00000206595	6	G2E3	159	185.976276547	3.91296949197	1	ENSG00000092140
ENST00000206765	6	TGM1	314	349.354555136	3.57786824435	1	ENSG00000092295
ENST00000207157	3	TBX15	134	150.263427644	1.76023589294	1	ENSG00000092607
ENST00000207457	3	TEKT2	185	167.218227594	1.89089093002	1	ENSG00000092850
ENST00000207549	4	UNC13D	437	401.894187147	3.06652381521	1	ENSG00000092929
ENST00000207870	3	XYLB	205	187.364620919	1.65990032596	1	ENSG00000093217
ENST00000209540	2	OR1I1	146	120.566972112	5.36497596502	1	ENSG00000094661
ENST00000209668	2	ADH1A	129	118.744688717	0.885693588966	1	ENSG00000187758
ENST00000209718	3	KRT23	161	153.64216513	0.352362477597	1	ENSG00000108244
ENST00000209728	4	CDC6	157	161.873563787	0.146729480893	1	ENSG00000094804
ENST00000209873	4	AAAS	220	189.612029937	4.87009566257	1	ENSG00000094914
ENST00000209875	4	CBX5	20	55.9680312218	23.1149683441	1	ENSG00000094916
ENST00000209884	4	KLHL20	108	212.158935116	51.1365866283	1	ENSG00000076321
ENST00000210060	7	DHPS	166	166.426257695	0.0010917485325	1	ENSG00000095059
ENST00000210187	6	RAB26	102	96.8223357103	0.276880404713	1	ENSG00000167964
ENST00000210313	3	PSMD5	179	162.262896991	1.72639970279	1	ENSG00000095261
ENST00000210444	5	NANS	127	134.120443425	0.378023761904	1	ENSG00000095380
ENST00000210633	3	SEMA4G	297	326.100362385	2.59684191929	1	ENSG00000095539
ENST00000211076	3	TPSD1	149	102.915155675	20.6365414556	1	ENSG00000095917
ENST00000211122	3	GSTA3	85	68.4687693751	3.99133193819	1	ENSG00000174156
ENST00000211287	4	MAPK13	143	146.594931172	0.0881580967782	1	ENSG00000156711
ENST00000211314	4	TMEM14A	35	35.1409536211	0.000565378034936	1	ENSG00000096092
ENST00000211936	6	ZNF184	152	206.057096042	14.1813588981	1	ENSG00000096654
ENST00000211998	4	VCL	274	401.785442233	40.6413909771	4	ENSG00000035403
ENST00000212015	6	SIRT1	154	169.503395641	1.41799682246	1	ENSG00000096717
ENST00000212355	4	TGFBR3	246	264.35934904	1.27502847321	1	ENSG00000069702
ENST00000214869	2	TMED1	91	103.390406293	1.48487827449	1	ENSG00000099203
ENST00000215057	2	MZF1	294	321.823458557	2.40549539045	2	ENSG00000099326
ENST00000215061	4	OCEL1	104	110.207665022	0.349659028006	1	ENSG00000099330
ENST00000215071	4	PSMD8	93	106.868489723	1.79973542891	1	ENSG00000099341
ENST00000215095	5	STX1B	43	126.388439021	55.0179416425	1	ENSG00000099365
ENST00000215115	4	BCL7C	70	100.582941897	9.29895584129	2	ENSG00000099385
ENST00000215368	2	EFNA2	55	80.5512760943	8.10499524903	1	ENSG00000099617
ENST00000215479	5	AMELY	19	10.0736896775	7.90961589284	1	ENSG00000099721
ENST00000215530	5	FGF22	84	58.2032161333	11.4336303399	1	ENSG00000070388
ENST00000215565	2	NDUFB7	57	55.5831158929	0.0361181725907	1	ENSG00000099795
ENST00000215567	5	TECR	57	134.715598191	44.8330726602	1	ENSG00000099797
ENST00000215570	3	TIMM13	43	44.8188183687	0.0738105192996	1	ENSG00000099800
ENST00000215574	4	CDC34	67	104.94535359	13.7199962629	2	ENSG00000099804
ENST00000215582	6	MISP	360	291.778404098	15.9510987861	1	ENSG00000099812
ENST00000215587	7	POLR2E	64	100.749815572	13.4049768422	1	ENSG00000099817
ENST00000215631	4	GADD45B	38	83.8880412657	25.1014602252	1	ENSG00000099860
ENST00000215637	3	MADCAM1	105	111.91643942	0.427436170243	1	ENSG00000099866
ENST00000215659	8	MAPK12	162	155.674140469	0.257052961297	1	ENSG00000188130
ENST00000215727	5	SERPIND1	193	183.587637944	0.482562772004	1	ENSG00000099937
ENST00000215730	7	SNAP29	113	96.6057854011	2.78213433284	1	ENSG00000099940
ENST00000215739	8	LZTR1	331	363.764102469	2.95105097866	2	ENSG00000099949
ENST00000215742	4	THAP7	90	118.200605211	6.72817311583	1	ENSG00000184436
ENST00000215743	3	MMP11	164	194.606305374	4.81354356358	1	ENSG00000099953
ENST00000215754	7	MIF	25	46.165068758	9.70344348187	1	ENSG00000240972
ENST00000215770	5	DDTL	16	11.7643404319	1.52501639003	1	ENSG00000099974
ENST00000215781	2	OSM	108	108.424272955	0.0016602144061	1	ENSG00000099985
ENST00000215793	8	SF3A1	140	277.154643318	67.87328532	1	ENSG00000099995
ENST00000215794	7	USP18	57	108.67398124	24.5707418345	2	ENSG00000184979
ENST00000215812	4	SEC14L3	157	150.123967369	0.314938550904	1	ENSG00000100012
ENST00000215829	3	SNRPD3	9	53.9820363326	37.4825354894	1	ENSG00000100028
ENST00000215832	6	MAPK1	26	110.956451187	65.0489315504	1	ENSG00000100030
